model_name,mean_latency,model_size,top1_acc,model_type
resnetv2_50d_gn_288,0.18179932832717896,97.67,81.816,cnn
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k_384,0.258922815322876,336.94,85.372,transformer
mobilenetv2_140.ra_in1k_224,0.039691829681396486,23.25,76.516,cnn
vit_small_patch32_224.augreg_in21k_ft_in1k_224,0.027446067333221434,87.38,75.990,transformer
tf_efficientnet_b3.ns_jft_in1k_300,0.28604851961135863,46.66,84.048,cnn
xcit_nano_12_p16_384_dist_384,0.08180842399597169,11.87,75.458,transformer
repvgg_b3_224,0.448850154876709,469.55,80.492,cnn
resmlp_12_distilled_224_224,0.052459442615509035,58.61,77.944,cnn
swinv2_cr_small_ns_224_224,0.2411754846572876,191.61,83.488,transformer
cs3sedarknet_x_288,0.22166695594787597,135.05,82.654,cnn
ssl_resnext101_32x8d_224,0.4077425837516785,338.37,81.616,cnn
mobilevit_s_256,0.0835922360420227,21.42,78.312,transformer
regnety_064_288,0.3422397494316101,116.56,83.716,cnn
ens_adv_inception_resnet_v2_299,0.31622456312179564,213.05,79.982,cnn
convnext_tiny.fb_in1k_288,0.18683264255523682,109.17,82.700,cnn
convnext_nano.in12k_ft_in1k_288,0.14214233160018921,59.57,82.858,cnn
gernet_m_224,0.06264944076538086,80.55,80.732,cnn
nasnetalarge_331,1.3633557319641114,338.83,82.620,cnn
ssl_resnext101_32x16d_224,0.7657315492630005,739.56,81.844,cnn
tf_efficientnet_b6.ns_jft_in1k_528,1.6461530923843384,163.98,86.452,cnn
repvgg_a2_224,0.08774617910385132,107.63,76.460,cnn
resmlp_36_224_224,0.15221067667007446,170.64,79.770,cnn
cait_s24_224_224,0.3298052906990051,179.23,83.452,transformer
mobilenetv2_050.lamb_in1k_224,0.014645874500274658,7.51,65.942,cnn
deit3_small_patch16_384_in21ft1k_384,0.2757768273353577,84.82,84.824,transformer
coatnet_rmlp_2_rw_224_224,0.4761162519454956,282.44,84.600,transformer
resnetv2_50d_evos_288,0.5772696733474731,97.91,81.976,cnn
deit_small_distilled_patch16_224_224,0.08674488067626954,85.70,81.200,transformer
maxvit_small_tf_224.in1k_224,0.6529767036437988,263.83,84.434,transformer
cait_xxs24_224_224,0.21809685230255127,45.87,78.386,transformer
resmlp_12_224_224,0.052559280395507814,58.61,76.654,cnn
mobilevit_xxs_256,0.033457052707672116,5.01,68.912,transformer
swsl_resnet18_224,0.034468424320220944,44.58,73.276,cnn
jx_nest_small_224,0.24227581024169922,146.92,83.120,cnn
wide_resnet101_2_224,0.3766492366790771,483.82,78.856,cnn
xception41p_299,0.24673385620117189,102.67,81.958,cnn
dm_nfnet_f1_320,1.0990220665931703,833.73,84.626,cnn
mobilenetv2_100.ra_in1k_224,0.02603580951690674,13.34,72.970,cnn
poolformer_s12_224,0.08151668310165405,45.54,77.230,transformer
regnety_004_224,0.041857790946960446,16.56,74.034,cnn
crossvit_15_dagger_408_408,0.4488378524780273,109.02,83.838,transformer
efficientnet_b1_pruned.in1k_240,0.08554555177688598,24.22,78.236,cnn
vgg13_224,0.2505532741546631,507.54,69.926,cnn
xcit_tiny_12_p8_384_dist_384,0.49671330451965334,25.80,82.388,transformer
efficientnet_b1.ft_in1k_256,0.09554264545440674,29.69,78.794,cnn
xcit_medium_24_p16_224_224,0.33124685287475586,322.40,82.636,transformer
pit_b_224_224,0.25234620571136473,281.59,82.446,transformer
vit_large_patch14_clip_336.laion2b_ft_in1k_336,2.461145794391632,1161.91,87.848,transformer
tv_resnet34_224,0.06084040403366089,83.14,73.312,cnn
regnety_002_224,0.023949217796325684,12.06,70.252,cnn
beitv2_large_patch16_224.in1k_ft_in22k_in1k_224,0.8855273962020874,1217.37,88.386,transformer
fbnetv3_b.ra2_in1k_256,0.06844637393951417,32.80,79.150,cnn
vit_large_patch16_384.augreg_in21k_ft_in1k_384,2.4630828380584715,1162.61,87.080,transformer
xcit_small_24_p8_384_dist_384,2.166552948951721,182.13,85.556,transformer
gluon_resnet152_v1c_224,0.2391689419746399,229.47,79.910,cnn
cs3darknet_m_288,0.06547553539276123,35.52,77.636,cnn
regnetx_320_224,0.5808583736419678,410.99,80.246,cnn
xcit_medium_24_p8_384_dist_384,3.1940112709999084,322.12,85.816,transformer
vit_base_patch16_384.augreg_in21k_ft_in1k_384,0.7758999228477478,331.45,86.006,transformer
vit_base_patch32_224.augreg_in1k_224,0.08703801631927491,336.66,74.904,transformer
mobilevitv2_200_384_in22ft1k_384,0.515594208240509,70.46,83.394,transformer
regnetx_008_224,0.05446503162384033,27.64,75.038,cnn
seresnext101_32x8d_288,0.8159737229347229,356.64,84.192,cnn
deit3_large_patch16_224_224,0.8739930987358093,1161.32,84.764,transformer
cait_m36_384_384,4.47199000120163,1035.00,86.054,transformer
dla46_c_224,0.046159112453460695,4.97,64.866,cnn
maxvit_large_tf_384.in21k_ft_in1k_384,4.200566732883454,810.57,87.992,transformer
repvgg_b0_224,0.06278884410858154,60.37,75.152,cnn
tf_efficientnetv2_s.in21k_ft_in1k_384,0.35746581554412843,81.75,84.302,cnn
convit_tiny_224,0.040863633155822754,22.34,73.116,transformer
mobilenetv3_large_100.miil_in21k_ft_in1k_224,0.02913050651550293,20.91,77.916,cnn
vit_large_patch14_clip_336.openai_ft_in12k_in1k_336,2.4656229615211487,1161.91,88.266,transformer
res2net50_48w_2s_224,0.113265061378479,96.39,77.522,cnn
gluon_seresnext50_32x4d_224,0.1965314269065857,105.04,79.918,cnn
tf_efficientnetv2_b0.in1k_224,0.07152116298675537,27.25,78.356,cnn
efficientnet_b2_pruned.in1k_260,0.12773350477218628,31.74,79.916,cnn
coat_tiny_224,0.2655362606048584,21.62,78.434,transformer
flexivit_large.600ep_in1k_240,0.8904723525047302,1161.24,85.538,transformer
pit_s_distilled_224_224,0.07388087511062622,91.88,81.996,transformer
nf_regnet_b1_288,0.14185543060302735,57.89,79.292,cnn
tresnet_l_448_448,0.6999640822410583,213.52,82.268,cnn
mobilevitv2_075_256,0.06894453763961791,11.05,75.622,transformer
xcit_small_24_p8_224_224,0.7407134532928467,182.13,83.838,transformer
adv_inception_v3_299,0.16786350011825563,90.90,77.582,cnn
tf_inception_v3_299,0.16791058778762818,90.90,77.860,cnn
eva_large_patch14_336.in22k_ft_in22k_in1k_336,2.463154363632202,1161.91,89.208,transformer
tf_mobilenetv3_large_100.in1k_224,0.06030083894729614,20.97,75.518,cnn
deit3_base_patch16_224_in21ft1k_224,0.2682360053062439,330.41,85.714,transformer
crossvit_9_240_240,0.056787657737731936,32.87,73.964,transformer
flexivit_small.300ep_in1k_240,0.09060074090957641,84.26,82.172,transformer
gluon_resnet18_v1b_224,0.03439310789108276,44.58,70.836,cnn
regnety_080_288,0.36168349981307985,149.34,83.932,cnn
vit_base_patch16_clip_224.openai_ft_in12k_in1k_224,0.2676718354225159,330.34,85.930,transformer
ssl_resnet50_224,0.09422903060913086,97.41,79.222,cnn
mobilevitv2_175_384_in22ft1k_384,0.4374437928199768,54.45,82.942,transformer
resnest101e_256,0.3001817584037781,184.05,82.890,cnn
xcit_medium_24_p8_224_224,1.109458041191101,322.12,83.734,transformer
coat_lite_mini_224,0.09192527532577514,42.20,79.088,transformer
xcit_small_12_p8_384_dist_384,1.1313077807426453,100.23,85.088,transformer
resnest269e_416,1.6397051215171814,422.95,84.518,cnn
beit_base_patch16_384.in22k_ft_in22k_in1k_384,0.8081854820251465,512.70,86.800,transformer
swsl_resnext50_32x4d_224,0.13785048723220825,95.37,82.182,cnn
res2net50_26w_4s_224,0.11758317947387695,97.97,77.964,cnn
pit_ti_distilled_224_224,0.027143394947052,19.65,74.530,transformer
regnety_032_288,0.26860933303833007,74.06,82.724,cnn
cs3darknet_focus_l_288,0.11745007038116455,80.68,80.884,cnn
regnetz_c16_320,0.2832347273826599,51.30,82.518,cnn
levit_128_224,0.07358095645904542,35.88,78.486,transformer
dla60x_224,0.17045211791992188,66.12,78.246,cnn
vit_tiny_patch16_224.augreg_in21k_ft_in1k_224,0.03605821132659912,21.92,75.454,transformer
tf_efficientnet_b0.ns_jft_in1k_224,0.0941278100013733,20.22,78.658,cnn
efficientnet_es_pruned.in1k_224,0.05300837755203247,20.67,75.000,cnn
regnetz_b16_288,0.2034188389778137,37.04,80.716,cnn
hrnet_w44_224,0.30970172882080077,255.85,78.896,cnn
xcit_small_24_p16_224_dist_224,0.22083189487457275,182.29,83.862,transformer
gluon_resnet34_v1b_224,0.06119904518127441,83.14,74.588,cnn
tf_efficientnetv2_s.in1k_384,0.3551752805709839,81.75,83.894,cnn
ssl_resnet18_224,0.03460077047348022,44.58,72.610,cnn
nfnet_l0_288,0.2904330015182495,217.16,82.750,cnn
tresnet_m_224,0.12497475147247314,119.72,83.080,cnn
convnext_nano.d1h_in1k_288,0.141982102394104,59.57,81.470,cnn
tf_efficientnetv2_b3.in21k_ft_in1k_300,0.19274181127548218,54.73,82.672,cnn
swinv2_large_window12to16_192to256_22kft1k_256,0.8047402024269104,756.59,86.936,transformer
maxvit_tiny_tf_512.in1k_512,1.9955635070800781,119.40,85.662,transformer
xcit_tiny_12_p16_384_dist_384,0.1297900438308716,25.84,80.940,transformer
xception_299,0.22679532766342164,87.11,79.052,cnn
gluon_resnext101_64x4d_224,0.4539544224739075,318.02,80.604,cnn
