model_name,mean_latency,size_in_mb,top1_acc,type
repvgg_b1_224.onnx,1.815387988090515,219.04,78.366,CNN
gluon_inception_v3_299.onnx,0.8458479523658753,90.90,78.806,CNN
xcit_medium_24_p16_224_dist_224.onnx,2.7649314045906066,322.40,84.274,Transformer
flexivit_large.300ep_in1k_240.onnx,10.29739989042282,1161.24,85.280,Transformer
crossvit_15_dagger_240_240.onnx,1.0799861550331116,107.91,82.332,Transformer
xcit_medium_24_p8_384_dist_384.onnx,35.51386934518814,322.12,85.816,Transformer
swin_tiny_patch4_window7_224_224.onnx,0.7593537449836731,110.09,81.378,Transformer
hardcorenas_d_224.onnx,0.12448453903198242,28.61,77.432,CNN
swin_large_patch4_window7_224_224.onnx,4.8092022895812985,755.75,86.320,Transformer
flexivit_base.300ep_in1k_240.onnx,2.701485478878021,330.42,84.394,Transformer
regnety_002_224.onnx,0.051144528388977054,12.06,70.252,CNN
efficientformer_l1_224.onnx,0.27717406749725343,46.84,80.502,Transformer
legacy_seresnext101_32x4d_224.onnx,1.2454592823982238,186.58,80.228,CNN
cs3darknet_x_288.onnx,1.5805717587471009,133.67,82.228,CNN
swinv2_base_window8_256_256.onnx,3.134136366844177,337.81,84.262,Transformer
tf_efficientnetv2_b3.in21k_ft_in1k_300.onnx,0.67074955701828,54.73,82.672,CNN
vit_small_patch16_384.augreg_in1k_384.onnx,2.31277619600296,84.78,81.120,Transformer
ssl_resnet18_224.onnx,0.2678601861000061,44.58,72.610,CNN
gcvit_xtiny_224.onnx,0.6421345233917236,84.31,81.952,Transformer
inception_v3_299.onnx,0.8453114986419678,90.90,77.440,CNN
spnasnet_100.rmsp_in1k_224.onnx,0.12702454328536988,16.82,74.084,CNN
regnety_032_288.onnx,0.8494049191474915,74.06,82.724,CNN
pit_s_distilled_224_224.onnx,0.46991777420043945,91.88,81.996,Transformer
xcit_large_24_p16_224_224.onnx,5.33915684223175,721.84,82.896,Transformer
tresnet_l_224.onnx,1.6013104796409607,213.52,81.488,CNN
mvitv2_base_224.onnx,2.122167873382568,197.31,84.422,Transformer
maxvit_small_tf_512.in1k_512.onnx,13.06661478281021,264.62,86.088,Transformer
tf_efficientnetv2_b3.in1k_300.onnx,0.6741964459419251,54.73,81.970,CNN
coatnet_rmlp_2_rw_224_224.onnx,2.7752823710441588,282.44,84.600,Transformer
tf_efficientnet_b6.aa_in1k_528.onnx,5.6177485704422,163.98,84.110,CNN
efficientformer_l3_224.onnx,0.7506303906440734,119.73,82.550,Transformer
ghostnet_100_224.onnx,0.07987327575683593,19.82,73.978,CNN
crossvit_base_240_240.onnx,3.034559488296509,400.91,82.216,Transformer
semnasnet_100.rmsp_in1k_224.onnx,0.11215877532958984,14.80,75.448,CNN
regnetx_320_224.onnx,4.342344033718109,410.99,80.246,CNN
densenet169_224.onnx,0.5827670335769654,54.68,75.906,CNN
edgenext_xx_small_288.onnx,0.13835066556930542,5.21,71.866,Transformer
tresnet_v2_l_224.onnx,1.3171132564544679,175.58,83.902,CNN
tresnet_xl_448_448.onnx,8.301338374614716,299.11,83.050,CNN
mobilenetv3_large_100.ra_in1k_224.onnx,0.09276766777038574,20.91,75.766,CNN
xcit_small_12_p8_224_dist_224.onnx,3.155653882026672,100.23,84.232,Transformer
inception_v4_299.onnx,1.7881790399551392,162.78,80.168,CNN
eva_large_patch14_196.in22k_ft_in22k_in1k_196.onnx,9.208709239959717,1160.42,88.586,Transformer
eva_large_patch14_336.in22k_ft_in22k_in1k_336.onnx,26.451301407814025,1161.91,,Transformer
tf_efficientnet_b4.aa_in1k_380.onnx,1.6184635281562805,73.72,83.022,CNN
beit_base_patch16_224.in22k_ft_in22k_in1k_224.onnx,2.3646077871322633,351.14,85.236,Transformer
tf_efficientnetv2_b0.in1k_224.onnx,0.1975022315979004,27.25,78.356,CNN
vit_large_patch16_384.augreg_in21k_ft_in1k_384.onnx,26.319680643081664,1162.61,87.080,Transformer
resnext101_64x4d_288.onnx,3.6371454000473022,318.02,83.148,CNN
coatnext_nano_rw_224_224.onnx,0.5854963541030884,62.92,81.948,Transformer
ens_adv_inception_resnet_v2_299.onnx,1.9253036975860596,213.05,79.982,CNN
swin_base_patch4_window7_224_224.onnx,2.3592321395874025,339.24,85.252,Transformer
convit_base_224.onnx,2.3836986422538757,330.68,82.288,Transformer
vit_small_patch32_224.augreg_in21k_ft_in1k_224.onnx,0.17899317741394044,87.38,75.990,Transformer
xcit_tiny_12_p16_384_dist_384.onnx,0.7994861125946044,25.84,80.940,Transformer
vit_base_patch16_224.orig_in21k_ft_in1k_224.onnx,2.344192659854889,330.34,81.786,Transformer
deit_base_distilled_patch16_224_224.onnx,2.3583781838417055,333.28,83.388,Transformer
twins_svt_small_224.onnx,0.5463080406188965,92.08,81.682,Transformer
xception41_299.onnx,1.4927258968353272,102.70,78.516,CNN
hardcorenas_c_224.onnx,0.11710779666900635,21.05,77.054,CNN
efficientnetv2_rw_m.agc_in1k_416.onnx,4.058004903793335,202.68,84.808,CNN
dpn98_224.onnx,1.7496444463729859,235.17,79.642,CNN
crossvit_9_dagger_240_240.onnx,0.4628838300704956,33.72,76.980,Transformer
pit_s_224_224.onnx,0.46302902698516846,89.68,81.094,Transformer
vgg11_224.onnx,1.2014150261878966,506.84,69.024,CNN
skresnet34_224.onnx,0.6194150924682618,85.03,76.912,CNN
swin_s3_tiny_224_224.onnx,0.7828797459602356,119.92,82.122,Transformer
