model_name,mean_latency,size_in_mb,top1_acc,type
tinynet_c.in1k_184.onnx,0.08743300437927246,9.38,71.232,CNN
efficientnet_b4.ra2_in1k_384.onnx,1.6076406836509705,73.66,83.428,CNN
dm_nfnet_f1_320.onnx,6.038169634342194,833.73,84.626,CNN
flexivit_small.300ep_in1k_240.onnx,0.7863368630409241,84.26,82.172,Transformer
edgenext_small_rw_320.onnx,0.655003833770752,30.03,80.456,Transformer
tresnet_l_448_448.onnx,5.924660408496857,213.52,82.268,CNN
xception71_299.onnx,2.9006718397140503,161.19,79.874,CNN
tf_mobilenetv3_small_100.in1k_224.onnx,0.04233928918838501,9.78,67.922,CNN
dm_nfnet_f0_256.onnx,2.132684648036957,450.49,83.386,CNN
vit_base_patch32_clip_224.laion2b_ft_in1k_224.onnx,0.6239007830619812,336.66,82.582,Transformer
efficientnet_b3_pruned.in1k_300.onnx,0.4081483244895935,37.63,80.858,CNN
vit_relpos_base_patch32_plus_rpn_256.sw_in1k_256.onnx,1.035808837413788,455.72,79.480,Transformer
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k_224.onnx,0.6204000592231751,336.66,83.306,Transformer
gmlp_s16_224_224.onnx,0.84221351146698,74.38,79.642,CNN
vit_base_patch16_clip_384.laion2b_ft_in1k_384.onnx,7.616403388977051,331.45,86.620,Transformer
tf_efficientnet_b1.ap_in1k_240.onnx,0.3470013737678528,29.76,79.280,CNN
swinv2_cr_small_ns_224_224.onnx,1.4569095373153687,191.61,83.488,Transformer
regnetz_c16_evos_320.onnx,1.2868460059165954,51.86,82.630,CNN
cs3sedarknet_x_288.onnx,1.616698944568634,135.05,82.654,CNN
tf_efficientnet_b7.ra_in1k_600.onnx,10.116971564292907,252.76,84.936,CNN
pnasnet5large_331.onnx,4.8760923624038695,328.63,82.782,CNN
regnetx_160_224.onnx,2.2061012148857118,206.87,79.856,CNN
cs3darknet_focus_l_288.onnx,0.9136288881301879,80.68,80.884,CNN
tresnet_xl_224.onnx,2.2270644426345827,299.11,82.054,CNN
regnetx_008_224.onnx,0.1437726378440857,27.64,75.038,CNN
tf_efficientnet_b3.aa_in1k_300.onnx,0.7538508296012878,46.66,81.636,CNN
convit_small_224.onnx,0.8641818881034851,106.52,81.426,Transformer
tf_mixnet_l.in1k_224.onnx,0.39253278970718386,28.42,78.774,CNN
cs3darknet_focus_m_288.onnx,0.4203114628791809,35.50,77.278,CNN
wide_resnet101_2_224.onnx,3.1462279319763184,483.82,78.856,CNN
skresnet18_224.onnx,0.3071812629699707,45.63,73.038,CNN
deit_base_patch16_384_384.onnx,7.611964321136474,331.45,83.106,Transformer
convnext_tiny_hnf.a2h_in1k_288.onnx,1.6173789262771607,109.17,82.590,CNN
crossvit_18_dagger_408_408.onnx,5.308726215362549,170.50,84.196,Transformer
sebotnet33ts_256_256.onnx,0.7334977507591247,52.38,81.150,Transformer
mobilenetv2_120d.ra_in1k_224.onnx,0.19625377655029297,22.18,77.284,CNN
vit_base_patch8_224.augreg2_in21k_ft_in1k_224.onnx,10.729578375816345,330.37,86.212,Transformer
res2net50_48w_2s_224.onnx,0.6193068623542786,96.39,77.522,CNN
vit_large_patch14_clip_224.laion2b_ft_in1k_224.onnx,11.119855308532715,1160.66,87.292,Transformer
fbnetv3_g.ra2_in1k_288.onnx,0.6009490013122558,63.35,82.048,CNN
hrnet_w32_224.onnx,1.3947780132293701,157.35,78.450,CNN
resmlp_12_distilled_224_224.onnx,0.46800124645233154,58.61,77.944,CNN
flexivit_small.600ep_in1k_240.onnx,0.7846476793289184,84.26,82.354,Transformer
tf_efficientnet_lite4.in1k_380.onnx,1.0979924321174621,49.53,81.536,CNN
coatnet_rmlp_nano_rw_224_224.onnx,0.6226365327835083,58.27,82.064,Transformer
vit_base_patch16_224.augreg2_in21k_ft_in1k_224.onnx,2.376076340675354,330.34,85.106,Transformer
flexivit_base.600ep_in1k_240.onnx,2.7202128291130068,330.42,84.518,Transformer
mobilevitv2_075_256.onnx,0.2743163466453552,11.05,75.622,Transformer
convnext_large.fb_in1k_288.onnx,9.160540282726288,754.64,84.846,CNN
tf_efficientnet_b3.ap_in1k_300.onnx,0.7676376938819885,46.66,81.822,CNN
regnetz_c16_320.onnx,0.906333577632904,51.30,82.518,CNN
mobilevitv2_200_in22ft1k_256.onnx,1.265704584121704,70.46,82.324,Transformer
eva_large_patch14_336.in22k_ft_in1k_336.onnx,27.08018329143524,1161.91,88.664,Transformer
vit_base_patch16_clip_224.openai_ft_in12k_in1k_224.onnx,2.3701519846916197,330.34,85.930,Transformer
cspdarknet53_256.onnx,0.8967385292053223,105.42,80.058,CNN
gluon_seresnext50_32x4d_224.onnx,0.6716262459754944,105.04,79.918,CNN
visformer_small_224.onnx,0.8620300889015198,153.58,82.106,Transformer
ssl_resnet50_224.onnx,0.6098960161209106,97.41,79.222,CNN
resnetv2_50d_gn_288.onnx,1.0863589286804198,97.67,81.816,CNN
rexnet_200_224.onnx,0.4333601832389832,62.34,81.632,CNN
edgenext_x_small_288.onnx,0.263107967376709,9.10,75.688,Transformer
crossvit_15_dagger_408_408.onnx,3.7549535393714906,109.02,83.838,Transformer
eca_botnext26ts_256_256.onnx,0.45038164854049684,40.49,79.274,Transformer
tf_efficientnet_es.in1k_224.onnx,0.38137189149856565,20.74,76.594,CNN
convnext_pico.d1_in1k_288.onnx,0.6074822783470154,34.58,80.426,CNN
ssl_resnext101_32x8d_224.onnx,2.3959290266036986,338.37,81.616,CNN
regnety_006_224.onnx,0.11771098375320435,23.08,75.246,CNN
hrnet_w18_small_224.onnx,0.2599773406982422,50.30,72.342,CNN
dm_nfnet_f2_352.onnx,10.585768353939056,1216.98,85.064
pvt_v2_b0_224.onnx,0.2665893793106079,14.13,70.656,Transformer
coat_lite_mini_224.onnx,0.4923245310783386,42.20,79.088,Transformer
resnet61q_288.onnx,1.5445717811584472,140.42,82.524,CNN
regnety_016_224.onnx,0.29121569395065305,42.69,77.862,CNN
poolformer_m48_224.onnx,2.224856162071228,280.62,82.462,Transformer
efficientformer_l7_224.onnx,1.7985756754875184,313.56,83.386,Transformer
maxvit_base_tf_224.in1k_224.onnx,4.4612229347229,457.52,84.860,Transformer
resmlp_big_24_224_224.onnx,13.67953518629074,492.73,81.028,CNN
swin_small_patch4_window7_224_224.onnx,1.4156028509140015,192.87,83.212,Transformer
tinynet_d.in1k_152.onnx,0.045629143714904785,8.92,66.962,CNN
gernet_l_256.onnx,0.6326785087585449,118.39,81.354,CNN
deit3_base_patch16_384_in21ft1k_384.onnx,7.654787206649781,331.52,86.744,Transformer
mobilevit_xs_256.onnx,0.32427096366882324,8.99,74.644,Transformer
xcit_nano_12_p8_224_dist_224.onnx,0.5852765560150146,11.85,76.324,Transformer
tresnet_m_448_448.onnx,3.1326696991920473,119.72,81.714,CNN
xcit_small_12_p16_224_dist_224.onnx,0.8644678592681885,100.38,83.350,Transformer
xcit_tiny_24_p16_384_dist_384.onnx,1.5067083716392518,46.62,82.570,Transformer
convnext_nano_ols.d1h_in1k_288.onnx,1.018655824661255,59.79,81.610,CNN
gluon_resnet152_v1b_224.onnx,1.7037021040916442,229.40,79.686,CNN
tf_mobilenetv3_large_075.in1k_224.onnx,0.07800322771072388,15.30,73.438,CNN
convnext_base.fb_in1k_288.onnx,4.6793408036232,338.16,84.434,CNN
vit_relpos_base_patch16_224.sw_in1k_224.onnx,2.3824122190475463,330.12,82.484,Transformer
gcvit_tiny_224.onnx,0.9599876880645752,130.87,83.400,Transformer
resnetv2_50x1_bitm_448.onnx,2.445486533641815,187.39,80.342,CNN
gluon_resnet101_v1b_224.onnx,1.170401358604431,169.79,79.306,CNN
tf_efficientnet_b5.ns_jft_in1k_456.onnx,3.2366838812828065,115.80,86.088,CNN
convnext_femto.d1_in1k_288.onnx,0.40408259630203247,19.98,78.704,CNN
crossvit_small_240_240.onnx,1.0020530104637146,102.72,81.020,Transformer
vit_relpos_base_patch16_clsgap_224.sw_in1k_224.onnx,2.4072546005249023,330.15,82.762,Transformer
resnet14t_224.onnx,0.25141899585723876,38.43,72.350,CNN
mobilenetv3_small_075.lamb_in1k_224.onnx,0.03318276405334473,7.80,65.246,CNN
ig_resnext101_32x16d_224.onnx,2.374432933330536,338.37,84.170,CNN
tf_mobilenetv3_large_100.in1k_224.onnx,0.096798574924469,20.97,75.518,CNN
maxxvit_rmlp_small_rw_256_256.onnx,2.7106587409973146,252.41,84.628,Transformer
flexivit_base.1200ep_in1k_240.onnx,2.733039879798889,330.42,84.664,Transformer
legacy_senet154_224.onnx,2.999843621253967,438.70,81.310,CNN
resnetrs101_288.onnx,2.0354135990142823,242.57,82.288,CNN
rexnet_100_224.onnx,0.16566166877746583,18.28,77.858,CNN
gluon_resnet34_v1b_224.onnx,0.5348710656166077,83.14,74.588,CNN
beit_base_patch16_384.in22k_ft_in22k_in1k_384.onnx,7.714740633964539,512.70,86.800,Transformer
gluon_resnet101_v1c_224.onnx,1.2014066934585572,169.86,79.534,CNN
vit_relpos_medium_patch16_cls_224.sw_in1k_224.onnx,1.2137945294380188,148.32,82.562,Transformer
vit_tiny_r_s16_p8_384.augreg_in21k_ft_in1k_384.onnx,0.25495014190673826,24.45,75.952,Transformer
resmlp_big_24_224_in22ft1k_224.onnx,13.71142727136612,492.73,84.394,CNN
ecaresnet269d_352.onnx,7.373236680030823,389.23,84.976,CNN
resnest14d_224.onnx,0.4279461860656738,40.46,75.506,CNN
darknetaa53_288.onnx,1.3961782813072205,137.39,80.522,CNN
vit_base_patch32_224.augreg_in21k_ft_in1k_224.onnx,0.6273018836975097,336.66,80.724,Transformer
levit_384_224.onnx,0.41270889043807985,150.21,82.586,Transformer
resmlp_36_224_224.onnx,1.3648523330688476,170.64,79.770,CNN
efficientnetv2_rw_s.ra2_in1k_384.onnx,1.6939806818962098,91.14,83.808,Transformer
xcit_tiny_24_p8_384_dist_384.onnx,6.011984884738922,46.59,83.740,Transformer
deit_tiny_distilled_patch16_224_224.onnx,0.21644151210784912,22.66,74.510,Transformer
vit_tiny_patch16_224.augreg_in21k_ft_in1k_224.onnx,0.21552486419677735,21.92,75.454,Transformer
dpn107_224.onnx,2.6998367071151734,331.92,80.156,CNN
regnetx_002_224.onnx,0.047155988216400144,10.22,68.762,CNN
xception_299.onnx,1.345063281059265,87.11,79.052,CNN
fbnetc_100.rmsp_in1k_224.onnx,0.1595636010169983,21.20,75.124,CNN
fbnetv3_d.ra2_in1k_256.onnx,0.26086087226867677,39.30,79.680,CNN
vit_base_patch32_224.augreg_in1k_224.onnx,0.6219126343727112,336.66,74.904,Transformer
gluon_resnet152_v1d_224.onnx,1.7515020966529846,229.47,80.474,CNN
deit_base_patch16_224_224.onnx,2.376537394523621,330.34,81.998,Transformer
regnetz_d32_320.onnx,1.7392430305480957,105.10,84.022,CNN
swsl_resnet50_224.onnx,0.6039591193199157,97.41,81.166,CNN
mobilevitv2_175_384_in22ft1k_384.onnx,2.2190380454063416,54.45,82.942,Transformer
xcit_small_12_p8_384_dist_384.onnx,10.058346664905548,100.23,85.088,Transformer
convnext_small.fb_in22k_ft_in1k_384_384.onnx,4.823562502861023,191.80,85.778,CNN
vgg11_bn_224.onnx,1.1966578960418701,506.84,70.360,CNN
deit3_base_patch16_224_in21ft1k_224.onnx,2.3890748143196108,330.41,85.714,Transformer
tf_efficientnetv2_l.in1k_480.onnx,9.744572246074677,451.43,85.670,CNN
resnet200d_320.onnx,4.25417799949646,246.54,83.962,CNN
res2net101_26w_4s_224.onnx,1.2177547574043275,172.32,79.198,CNN
tf_efficientnet_b6.ap_in1k_528.onnx,5.615982031822204,163.98,84.788,CNN
mobilevitv2_050_256.onnx,0.15993690490722656,5.35,70.140,Transformer
efficientnetv2_rw_t.ra2_in1k_288.onnx,0.6869682908058167,51.96,82.348,CNN
vit_base_patch16_224_miil.in21k_ft_in1k_224.onnx,2.3694554209709167,330.23,84.268,Transformer
swinv2_tiny_window8_256_256.onnx,1.027524197101593,109.90,81.806,Transformer
mobilenetv2_110d.ra_in1k_224.onnx,0.13840352296829223,17.19,75.036,CNN
regnetx_004_224.onnx,0.08175638914108277,19.63,72.396,CNN
skresnext50_32x4d_224.onnx,0.8481883406639099,104.74,80.156,CNN
dpn68_224.onnx,0.4061551928520203,48.20,76.318,CNN
tf_efficientnetv2_b1.in1k_240.onnx,0.2928833723068237,31.06,79.462,CNN
xcit_small_12_p16_224_224.onnx,0.8653547525405884,100.38,81.974,Transformer
jx_nest_tiny_224.onnx,1.0022494554519654,65.40,81.414,CNN
maxvit_large_tf_384.in1k_384.onnx,22.708502340316773,810.57,86.236,Transformer
swin_s3_small_224_224.onnx,1.5630209803581239,227.11,83.770,Transformer
gluon_resnet50_v1c_224.onnx,0.6342885375022889,97.49,78.012,CNN
darknet53_288.onnx,1.6087701201438904,158.69,80.534,CNN
swsl_resnext50_32x4d_224.onnx,0.6422517657279968,95.37,82.182,CNN
xcit_tiny_12_p8_384_dist_384.onnx,3.116945803165436,25.80,82.388,Transformer
resnest101e_256.onnx,1.9763523817062378,184.05,82.890,CNN
convnext_atto.d2_in1k_288.onnx,0.31297380924224855,14.18,77.014,CNN
legacy_seresnet34_224.onnx,0.5427430629730224,83.77,74.808,CNN
coat_tiny_224.onnx,1.16953444480896,21.62,78.434,Transformer
regnety_040_288.onnx,0.9897805690765381,78.69,83.038,CNN
tf_efficientnet_b0.ap_in1k_224.onnx,0.2201493501663208,20.22,77.086,CNN
xcit_small_24_p16_224_dist_224.onnx,1.623458445072174,182.29,83.862,Transformer
dpn131_224.onnx,2.4104205846786497,302.76,79.822,CNN
dla46_c_224.onnx,0.10813828706741332,4.97,64.866,CNN
ssl_resnext50_32x4d_224.onnx,0.6408669352531433,95.37,80.318,CNN
dla46x_c_224.onnx,0.11717429161071777,4.08,65.970,CNN
cs3darknet_m_288.onnx,0.44155436754226685,35.52,77.636,CNN
levit_128_224.onnx,0.10176200866699218,35.88,78.486,Transformer
xcit_nano_12_p8_224_224.onnx,0.5793562769889832,11.85,73.914,Transformer
vit_base_patch16_clip_224.openai_ft_in1k_224.onnx,2.382352089881897,330.34,85.280,Transformer
convnext_nano.in12k_ft_in1k_288.onnx,0.9755971431732178,59.57,82.858,CNN
repvgg_b3_224.onnx,3.9323424339294433,469.55,80.492,CNN
eca_nfnet_l2_384.onnx,4.9483269572258,421.22,84.698,CNN
xception65p_299.onnx,2.2215583443641664,151.95,83.130,CNN
hardcorenas_e_224.onnx,0.16079436540603637,30.77,77.794,CNN
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k_336.onnx,27.584230029582976,1161.91,88.182,Transformer
maxvit_rmlp_pico_rw_256_256.onnx,0.5432135939598084,29.22,80.516,Transformer
vit_base_patch16_224.augreg_in21k_ft_in1k_224.onnx,2.3730138421058653,330.34,84.532,Transformer
swin_large_patch4_window12_384_384.onnx,14.82020993232727,801.07,87.148,Transformer
tf_efficientnet_b7.ap_in1k_600.onnx,10.148591530323028,252.76,85.120,CNN
tf_efficientnet_b2.aa_in1k_260.onnx,0.45560351610183714,34.77,80.086,CNN
tf_efficientnetv2_s.in1k_384.onnx,1.646370255947113,81.75,83.894,CNN
repvgg_b2_224.onnx,2.756718385219574,339.61,78.792,CNN
tf_efficientnet_b5.ra_in1k_456.onnx,3.2112902998924255,115.80,83.812,CNN
resnest200e_320.onnx,5.289601159095764,267.67,83.832,CNN
convnext_large.fb_in22k_ft_in1k_384_384.onnx,15.834063899517059,754.64,87.472,CNN
xcit_large_24_p16_224_dist_224.onnx,5.363017106056214,721.84,84.918,Transformer
resnet101d_320.onnx,2.290145921707153,169.86,83.022,CNN
xcit_medium_24_p8_224_dist_224.onnx,10.77429016828537,322.12,85.072,Transformer
cait_xxs24_224_224.onnx,0.5737733244895935,45.87,78.386,Transformer
crossvit_9_240_240.onnx,0.45355466604232786,32.87,73.964,Transformer
vit_base_patch16_clip_224.laion2b_ft_in1k_224.onnx,2.3783021807670592,330.34,85.468,Transformer
cait_xs24_384_384.onnx,4.681037127971649,101.99,84.062,Transformer
seresnext101_32x8d_288.onnx,3.879735541343689,356.64,84.192,CNN
swsl_resnext101_32x16d_224.onnx,5.313230514526367,739.56,83.346,CNN
xcit_tiny_24_p8_224_224.onnx,1.9908290266990663,46.59,81.900,Transformer
vit_base_patch16_clip_384.openai_ft_in12k_in1k_384.onnx,7.6272380471229555,331.45,87.034,Transformer
maxvit_base_tf_512.in1k_512.onnx,25.398401069641114,459.11,86.598,Transformer
maxvit_tiny_rw_224_224.onnx,1.0931778430938721,112.69,83.504,Transformer
gcvit_base_224.onnx,2.5981992959976195,390.49,84.448,Transformer
maxvit_base_tf_384.in1k_384.onnx,13.360573410987854,458.24,86.294,Transformer
tf_efficientnet_lite0.in1k_224.onnx,0.15424342155456544,17.77,74.830,CNN
swin_base_patch4_window12_384_384.onnx,7.489154756069183,371.42,86.432,Transformer
tv_resnet34_224.onnx,0.5392277121543885,83.14,73.312,CNN
botnet26t_256_256.onnx,0.4817341208457947,47.71,79.272,Transformer
tinynet_a.in1k_192.onnx,0.19208115339279175,23.57,77.652,CNN
swsl_resnext101_32x4d_224.onnx,1.2052650928497315,168.31,83.230,CNN
gluon_resnet50_v1b_224.onnx,0.6084232091903686,97.41,77.580,CNN
coat_mini_224.onnx,1.6128085136413575,40.08,81.268,Transformer
maxvit_rmlp_nano_rw_256_256.onnx,0.9574273705482483,59.49,82.962,Transformer
pvt_v2_b3_224.onnx,1.8098499655723572,173.05,83.126,Transformer
coatnet_0_rw_224_224.onnx,0.8785081028938293,116.36,82.390,Transformer
xcit_tiny_12_p16_224_224.onnx,0.2907718062400818,25.84,77.120,Transformer
xcit_tiny_24_p16_224_dist_224.onnx,0.5456158995628357,46.62,80.446,Transformer
vit_tiny_patch16_384.augreg_in21k_ft_in1k_384.onnx,0.7974433660507202,22.20,78.430,Transformer
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k_448.onnx,2.430067610740662,337.09,85.784,Transformer
twins_svt_large_224.onnx,2.3991785526275633,379.08,83.678,Transformer
poolformer_s24_224.onnx,0.6982239961624146,81.77,80.316,Transformer
regnetz_040h_320.onnx,1.4587718725204468,110.21,84.494,CNN
tf_efficientnet_b8.ra_in1k_672.onnx,16.00038660764694,333.01,85.370,CNN
resnest50d_4s2x40d_224.onnx,0.743860375881195,115.92,81.108,CNN
mixer_l16_224_224.onnx,6.575653970241547,794.39,72.058,CNN
vit_small_patch32_384.augreg_in21k_ft_in1k_384.onnx,0.5066478490829468,87.52,80.480,Transformer
xcit_tiny_12_p8_224_224.onnx,1.0364198207855224,25.80,79.694,Transformer
bat_resnext26ts_256.onnx,0.45450477600097655,41.03,78.242,CNN
flexivit_small.1200ep_in1k_240.onnx,0.7898093700408936,84.26,82.526,Transformer
regnetx_120_224.onnx,1.6964893102645875,175.72,79.596,CNN
mobilevit_xxs_256.onnx,0.14404808282852172,5.01,68.912,Transformer
res2next50_224.onnx,0.6416631698608398,94.04,78.246,CNN
poolformer_s36_224.onnx,1.0524706721305848,117.99,81.416,Transformer
regnetv_040_288.onnx,1.153520131111145,78.92,83.194,CNN
tf_efficientnet_b3.ns_jft_in1k_300.onnx,0.7643258929252624,46.66,84.048,CNN
tf_mixnet_s.in1k_224.onnx,0.20184086561203002,16.13,75.650,CNN
legacy_seresnext26_32x4d_224.onnx,0.38827263116836547,64.00,77.104,CNN
swinv2_tiny_window16_256_256.onnx,1.2197166323661803,113.94,82.810,Transformer
cait_xxs36_384_384.onnx,4.2299226999282835,66.64,82.194,Transformer
deit3_medium_patch16_224_in21ft1k_224.onnx,1.1950244784355164,148.31,84.560,Transformer
mixnet_m.ft_in1k_224.onnx,0.2871540904045105,19.32,77.260,CNN
gluon_resnet50_v1s_224.onnx,0.7905081272125244,97.89,78.712,CNN
resnet51q_288.onnx,1.3077638387680053,136.05,82.360,CNN
regnety_080_288.onnx,1.933951234817505,149.34,83.932,CNN
beitv2_base_patch16_224.in1k_ft_in22k_in1k_224.onnx,2.3872450828552245,351.14,86.480,Transformer
vit_small_patch16_384.augreg_in21k_ft_in1k_384.onnx,2.3103764295578,84.78,83.802,Transformer
vit_large_patch14_clip_224.openai_ft_in1k_224.onnx,11.738632798194885,1160.66,87.852,Transformer
deit3_small_patch16_224_224.onnx,0.6829949259757996,84.26,81.386,Transformer
deit_tiny_patch16_224_224.onnx,0.2145097017288208,21.92,72.168,Transformer
tnt_s_patch16_224_224.onnx,0.9323952555656433,90.86,81.518,Transformer
cait_s24_224_224.onnx,1.5812906503677369,179.23,83.452,Transformer
cait_m36_384_384.onnx,31.008293545246126,1035.00,86.054,Transformer
twins_pcpvt_large_224.onnx,1.7399216890335083,233.12,83.140,Transformer
resnetv2_50x1_bit_distilled_224.onnx,0.6774162650108337,187.39,82.818,CNN
resnetrs152_320.onnx,3.5099292278289793,330.27,83.712,CNN
efficientnet_lite0.ra_in1k_224.onnx,0.15050458908081055,17.70,75.484,CNN
xcit_tiny_24_p8_224_dist_224.onnx,2.005826711654663,46.59,82.562,Transformer
vit_large_patch32_384.orig_in21k_ft_in1k_384.onnx,6.564218354225159,1169.92,81.506,Transformer
dpn92_224.onnx,1.0406663775444032,144.02,80.008,CNN
mobilenetv2_140.ra_in1k_224.onnx,0.16179147958755494,23.25,76.516,CNN
xcit_tiny_12_p8_224_dist_224.onnx,1.040763759613037,25.80,81.212,Transformer
mobilevitv2_150_384_in22ft1k_384.onnx,1.716439127922058,40.51,82.594,Transformer
ig_resnext101_32x32d_224.onnx,2.398868453502655,338.37,85.094,CNN
xcit_medium_24_p16_224_224.onnx,2.7849075198173523,322.40,82.636,Transformer
gluon_seresnext101_64x4d_224.onnx,2.3119111180305483,336.28,80.894,CNN
xcit_large_24_p8_224_224.onnx,21.06180329322815,721.22,84.392,Transformer
mixnet_l.ft_in1k_224.onnx,0.3917863965034485,28.18,78.976,CNN
mixnet_s.ft_in1k_224.onnx,0.19668965339660643,15.92,75.992,CNN
tf_efficientnet_b2.ns_jft_in1k_260.onnx,0.44966429471969604,34.77,82.380,CNN
maxvit_rmlp_small_rw_224_224.onnx,1.9901416897773743,248.05,84.484,Transformer
sequencer2d_m_224.onnx,1.73617844581604,147.18,82.806,CNN
hrnet_w18_224.onnx,0.7222230434417725,81.35,76.758,CNN
mobilevitv2_100_256.onnx,0.4172741651535034,18.81,78.090,Transformer
gluon_resnet101_v1d_224.onnx,1.1975707411766052,169.86,80.414,CNN
mnasnet_small.lamb_in1k_224.onnx,0.04100320339202881,7.75,66.206,CNN
cs3edgenet_x_288.onnx,2.0951261281967164,182.39,82.702,CNN
crossvit_18_dagger_240_240.onnx,1.5466951966285705,169.21,82.518,Transformer
dla102x_224.onnx,0.9167298197746276,100.25,78.510,CNN
mixer_b16_224_miil_224.onnx,1.7938173413276672,228.52,82.308,CNN
tf_efficientnet_lite1.in1k_240.onnx,0.23305761814117432,20.67,76.642,CNN
levit_128s_224.onnx,0.07515901327133179,30.33,76.530,Transformer
mobilenetv3_large_100.miil_in21k_ft_in1k_224.onnx,0.0923487663269043,20.91,77.916,CNN
xcit_large_24_p8_384_dist_384.onnx,67.03470499515534,721.22,86.000
tf_efficientnet_b0.aa_in1k_224.onnx,0.22029093503952027,20.22,76.848,CNN
xcit_small_24_p16_224_224.onnx,1.6217149496078491,182.29,82.580,Transformer
tf_efficientnet_b4.ap_in1k_380.onnx,1.6247737288475037,73.72,83.248,CNN
vit_large_patch14_clip_224.openai_ft_in12k_in1k_224.onnx,11.68532919883728,1160.66,88.168,Transformer
rexnet_130_224.onnx,0.23424075841903685,28.79,79.500,CNN
cait_xxs36_224_224.onnx,0.8500539422035217,66.37,79.750,Transformer
xcit_small_24_p8_224_dist_224.onnx,6.048299956321716,182.13,84.876,Transformer
convnext_small.fb_in1k_288.onnx,2.80627019405365,191.80,83.706,CNN
cait_s24_384_384.onnx,6.848039019107818,179.78,85.046,Transformer
tv_resnet152_224.onnx,1.7108558416366577,229.40,78.312,CNN
tf_efficientnet_b8.ap_in1k_672.onnx,15.87368153333664,333.01,85.370,CNN
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k_384.onnx,1.7713181495666503,336.94,85.372,Transformer
vit_base_patch32_384.augreg_in1k_384.onnx,1.7688629508018494,336.93,78.760,Transformer
convnext_tiny.fb_in22k_ft_in1k_288.onnx,1.5261707544326781,109.17,78.908,CNN
tf_efficientnet_b7.ns_jft_in1k_600.onnx,10.142941331863403,252.76,86.840,CNN
vit_base_patch16_384.augreg_in21k_ft_in1k_384.onnx,7.642662012577057,331.45,86.006,Transformer
vit_large_patch14_clip_336.openai_ft_in12k_in1k_336.onnx,27.32234743833542,1161.91,88.266,Transformer
tf_efficientnet_b5.ap_in1k_456.onnx,3.233696758747101,115.80,84.252,CNN
vgg19_bn_224.onnx,2.765995240211487,548.06,74.214,CNN
tv_resnet50_224.onnx,0.6048446416854858,97.41,76.138,CNN
convnext_large.fb_in22k_ft_in1k_288.onnx,9.072325646877289,754.64,87.016,CNN
dla60x_c_224.onnx,0.12860835790634156,5.04,67.892,CNN
resnest269e_416.onnx,11.531854963302612,422.95,84.518,CNN
xcit_nano_12_p16_384_dist_384.onnx,0.45676223039627073,11.87,75.458,Transformer
crossvit_tiny_240_240.onnx,0.42429715394973755,27.03,73.324,Transformer
deit3_medium_patch16_224_224.onnx,1.1892280459403992,148.31,83.080,Transformer
seresnet152d_320.onnx,3.4443029522895814,254.82,84.362,CNN
lcnet_050.ra2_in1k_224.onnx,0.028936433792114257,7.19,63.100,CNN
tv_resnext50_32x4d_224.onnx,0.6434547901153564,95.37,77.620,CNN
regnety_008_224.onnx,0.14797558784484863,23.87,76.316,CNN
dla169_224.onnx,1.7089147448539734,203.56,78.688,CNN
regnetz_d8_320.onnx,1.3804134488105775,89.07,84.050,CNN
tf_efficientnet_b2.ap_in1k_260.onnx,0.45096209049224856,34.77,80.300,CNN
xcit_small_24_p8_224_224.onnx,6.027750051021576,182.13,83.838,Transformer
rexnet_150_224.onnx,0.28668138980865476,37.05,80.310,CNN
vit_base_patch16_224.augreg_in1k_224.onnx,2.3813254117965696,330.34,79.154,Transformer
coatnet_1_rw_224_224.onnx,1.5968196034431457,183.06,83.608,Transformer
dla102x2_224.onnx,1.4535495162010192,157.27,79.448,CNN
twins_pcpvt_base_224.onnx,1.2142172813415528,167.51,82.708,Transformer
sequencer2d_l_224.onnx,2.6050167322158813,208.71,83.406,CNN
res2net50_26w_4s_224.onnx,0.6439520597457886,97.97,77.964,CNN
hrnet_w18_small_v2_224.onnx,0.43311543464660646,59.53,75.114,CNN
deit_base_distilled_patch16_384_384.onnx,7.657608079910278,334.39,85.422,Transformer
vgg19_224.onnx,2.7703314065933227,548.06,72.368,CNN
gluon_resnext101_64x4d_224.onnx,2.2637641549110414,318.02,80.604,CNN
resmlp_24_distilled_224_224.onnx,0.9067039489746094,114.63,80.766,CNN
mobilenetv3_rw.rmsp_in1k_224.onnx,0.09203529357910156,20.90,75.634,CNN
coatnet_bn_0_rw_224_224.onnx,0.945011043548584,116.39,82.398,Transformer
lcnet_100.ra2_in1k_224.onnx,0.06628059148788452,11.27,72.114,CNN
resnet18_224.onnx,0.26722303628921507,44.58,69.748,CNN
resnet18d_224.onnx,0.3037286400794983,44.66,72.260,CNN
ese_vovnet19b_dw_224.onnx,0.2362278699874878,24.96,76.798,CNN
resnet26_224.onnx,0.3498710036277771,60.97,75.292,CNN
resnet34_224.onnx,0.5393713712692261,83.14,75.110,CNN
resnet26d_224.onnx,0.385356605052948,61.05,76.696,CNN
resnext26ts_256.onnx,0.4244023561477661,39.25,76.780,CNN
resnet34d_224.onnx,0.5675763249397278,83.21,77.116,CNN
gcresnext26ts_256.onnx,0.43008444309234617,39.98,77.814,CNN
