model_name,mean_latency,model_size,top1_acc,model_type
flexivit_base.300ep_in1k_240,2.701485478878021,330.42,84.394,transformer
regnety_002_224,0.051144528388977054,12.06,70.252,cnn
efficientformer_l1_224,0.27717406749725343,46.84,80.502,transformer
legacy_seresnext101_32x4d_224,1.2454592823982238,186.58,80.228,cnn
cs3darknet_x_288,1.5805717587471009,133.67,82.228,cnn
swinv2_base_window8_256_256,3.134136366844177,337.81,84.262,transformer
tf_efficientnetv2_b3.in21k_ft_in1k_300,0.67074955701828,54.73,82.672,cnn
vit_small_patch16_384.augreg_in1k_384,2.31277619600296,84.78,81.120,transformer
ssl_resnet18_224,0.2678601861000061,44.58,72.610,cnn
gcvit_xtiny_224,0.6421345233917236,84.31,81.952,transformer
inception_v3_299,0.8453114986419678,90.90,77.440,cnn
spnasnet_100.rmsp_in1k_224,0.12702454328536988,16.82,74.084,cnn
regnety_032_288,0.8494049191474915,74.06,82.724,cnn
pit_s_distilled_224_224,0.46991777420043945,91.88,81.996,transformer
xcit_large_24_p16_224_224,5.33915684223175,721.84,82.896,transformer
tresnet_l_224,1.6013104796409607,213.52,81.488,cnn
mvitv2_base_224,2.122167873382568,197.31,84.422,transformer
maxvit_small_tf_512.in1k_512,13.06661478281021,264.62,86.088,transformer
tf_efficientnetv2_b3.in1k_300,0.6741964459419251,54.73,81.970,cnn
coatnet_rmlp_2_rw_224_224,2.7752823710441588,282.44,84.600,transformer
tf_efficientnet_b6.aa_in1k_528,5.6177485704422,163.98,84.110,cnn
efficientformer_l3_224,0.7506303906440734,119.73,82.550,transformer
ghostnet_100_224,0.07987327575683593,19.82,73.978,cnn
crossvit_base_240_240,3.034559488296509,400.91,82.216,transformer
semnasnet_100.rmsp_in1k_224,0.11215877532958984,14.80,75.448,cnn
regnetx_320_224,4.342344033718109,410.99,80.246,cnn
densenet169_224,0.5827670335769654,54.68,75.906,cnn
edgenext_xx_small_288,0.13835066556930542,5.21,71.866,transformer
tresnet_v2_l_224,1.3171132564544679,175.58,83.902,cnn
tresnet_xl_448_448,8.301338374614716,299.11,83.050,cnn
mobilenetv3_large_100.ra_in1k_224,0.09276766777038574,20.91,75.766,cnn
xcit_small_12_p8_224_dist_224,3.155653882026672,100.23,84.232,transformer
inception_v4_299,1.7881790399551392,162.78,80.168,cnn
eva_large_patch14_196.in22k_ft_in22k_in1k_196,9.208709239959717,1160.42,88.586,transformer
eva_large_patch14_336.in22k_ft_in22k_in1k_336,26.451301407814025,1161.91,,transformer
tf_efficientnet_b4.aa_in1k_380,1.6184635281562805,73.72,83.022,cnn
beit_base_patch16_224.in22k_ft_in22k_in1k_224,2.3646077871322633,351.14,85.236,transformer
tf_efficientnetv2_b0.in1k_224,0.1975022315979004,27.25,78.356,cnn
vit_large_patch16_384.augreg_in21k_ft_in1k_384,26.319680643081664,1162.61,87.080,transformer
resnext101_64x4d_288,3.6371454000473022,318.02,83.148,cnn
coatnext_nano_rw_224_224,0.5854963541030884,62.92,81.948,transformer
ens_adv_inception_resnet_v2_299,1.9253036975860596,213.05,79.982,cnn
swin_base_patch4_window7_224_224,2.3592321395874025,339.24,85.252,transformer
convit_base_224,2.3836986422538757,330.68,82.288,transformer
vit_small_patch32_224.augreg_in21k_ft_in1k_224,0.17899317741394044,87.38,75.990,transformer
xcit_tiny_12_p16_384_dist_384,0.7994861125946044,25.84,80.940,transformer
vit_base_patch16_224.orig_in21k_ft_in1k_224,2.344192659854889,330.34,81.786,transformer
deit_base_distilled_patch16_224_224,2.3583781838417055,333.28,83.388,transformer
twins_svt_small_224,0.5463080406188965,92.08,81.682,transformer
xception41_299,1.4927258968353272,102.70,78.516,cnn
hardcorenas_c_224,0.11710779666900635,21.05,77.054,cnn
efficientnetv2_rw_m.agc_in1k_416,4.058004903793335,202.68,84.808,cnn
dpn98_224,1.7496444463729859,235.17,79.642,cnn
crossvit_9_dagger_240_240,0.4628838300704956,33.72,76.980,transformer
pit_s_224_224,0.46302902698516846,89.68,81.094,transformer
vgg11_224,1.2014150261878966,506.84,69.024,cnn
skresnet34_224,0.6194150924682618,85.03,76.912,cnn
swin_s3_tiny_224_224,0.7828797459602356,119.92,82.122,transformer
pvt_v2_b2_li_224,1.22894047498703,86.35,82.196,transformer
ecaresnet26t_320,0.7817502498626709,61.05,79.854,cnn
edgenext_base_320,1.3025901675224305,70.80,83.960,transformer
lcnet_075.ra2_in1k_224,0.04719620943069458,9.00,68.818,cnn
ig_resnext101_32x8d_224,2.3864967942237856,338.37,82.688,cnn
gcvit_xxtiny_224,0.4767328381538391,53.27,79.714,transformer
resnetaa50_288,1.2006603717803954,97.42,81.622,cnn
tresnet_m_224,0.8368895530700684,119.72,83.080,cnn
ecaresnet50t_320,1.3033113718032836,97.50,82.346,cnn
cs3darknet_l_288,0.9523272275924682,80.73,80.896,cnn
xcit_large_24_p16_384_dist_384,15.41583970785141,721.84,85.754,transformer
gluon_seresnext101_32x4d_224,1.2540038466453551,186.57,80.904,cnn
coatnet_nano_rw_224_224,0.5537449836730957,64.58,81.700,transformer
lambda_resnet26rpt_256_256,0.44906115531921387,42.46,78.970,cnn
repvgg_b0_224,0.5143630504608154,60.37,75.152,cnn
xcit_small_24_p8_384_dist_384,19.1378044962883,182.13,85.556,transformer
vit_large_patch16_224.augreg_in21k_ft_in1k_224,9.446286642551422,1161.13,85.842,transformer
resmlp_36_distilled_224_224,1.3557359099388122,170.64,81.160,cnn
dla60_res2next_224,0.5485145568847656,64.94,78.440,cnn
maxvit_nano_rw_256_256,0.9584131836891174,60.69,82.932,transformer
vit_base_patch16_clip_384.openai_ft_in1k_384,7.532730901241303,331.45,86.206,transformer
tf_efficientnet_b4.ns_jft_in1k_380,1.603376865386963,73.72,85.162,cnn
ssl_resnext101_32x16d_224,5.331904923915863,739.56,81.844,cnn
nf_regnet_b1_288,0.31826146841049197,57.89,79.292,cnn
resnet152d_320,3.290871822834015,229.47,83.680,cnn
poolformer_s12_224,0.3679440379142761,45.54,77.230,transformer
repvgg_a2_224,0.8134864091873169,107.63,76.460,cnn
resmlp_12_224_224,0.4541735053062439,58.61,76.654,cnn
maxvit_tiny_tf_512.in1k_512,7.245038306713104,119.40,85.662,transformer
efficientnet_el_pruned.in1k_300,1.3553476810455323,40.25,80.300,cnn
gmixer_24_224_224,0.7652431488037109,94.57,78.036,cnn
cait_s36_384_384,10.045542073249816,261.17,85.460,transformer
mobilevitv2_150_in22ft1k_256,0.7784113407135009,40.51,81.478,transformer
hardcorenas_f_224,0.15368903875350953,31.26,78.104,cnn
adv_inception_v3_299,0.8500206232070923,90.90,77.582,cnn
cait_xxs24_384_384,3.1081633806228637,46.14,80.966,transformer
convnext_nano.d1h_in1k_288,0.9480175614356995,59.57,81.470,cnn
pvt_v2_b2_224,1.241335356235504,97.03,82.076,transformer
repvgg_b3g4_224,2.4797245025634767,319.78,80.212,cnn
repvgg_b1g4_224,1.176493191719055,152.48,77.594,cnn
resnetrs50_224,0.6950970530509949,136.10,79.892,cnn
gluon_resnet152_v1s_224,1.8839683651924133,229.87,81.016,cnn
hrnet_w30_224,1.291157078742981,143.93,78.206,cnn
resnetrs270_352,7.342994308471679,495.15,84.434,cnn
deit3_base_patch16_224_224,2.3474682688713076,330.41,83.792,transformer
beitv2_large_patch16_224.in1k_ft_in22k_in1k_224,9.35247575044632,1217.37,88.386,transformer
vgg13_224,1.673359763622284,507.54,69.926,cnn
maxvit_rmlp_tiny_rw_256_256,1.4147521615028382,111.71,84.232,transformer
tf_efficientnetv2_s.in21k_ft_in1k_384,1.6250798583030701,81.75,84.302,cnn
resmlp_big_24_distilled_224_224,13.535171616077424,492.73,83.588,cnn
mobilevitv2_200_384_in22ft1k_384,2.766943371295929,70.46,83.394,transformer
fbnetv3_b.ra2_in1k_256,0.23447214365005492,32.80,79.150,cnn
eva_large_patch14_196.in22k_ft_in1k_196,9.158518064022065,1160.42,87.938,transformer
tinynet_e.in1k_106,0.023529434204101564,7.80,59.856,cnn
twins_svt_base_224,1.3843494534492493,214.29,83.136,transformer
gernet_s_224,0.12443791627883911,31.14,76.916,cnn
eca_nfnet_l0_288,1.211455726623535,175.47,82.580,cnn
cs3sedarknet_l_288,0.9555052399635315,83.62,81.774,cnn
xcit_nano_12_p16_224_224,0.16276086568832399,11.87,69.954,transformer
vit_small_r26_s32_384.augreg_in21k_ft_in1k_384,1.5704952955245972,192.78,84.046,transformer
xcit_medium_24_p16_384_dist_384,7.853879141807556,322.40,85.412,transformer
