,model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
243,yolo6l-d33w75_448,0.90906,0.84095,0.90333,0.5642
244,yolo6l-d33w75_480,0.91082,0.84931,0.90899,0.58822
245,yolo6l-d6w25_160,0.71736,0.51024,0.59514,0.30037
246,yolo6l-d6w25_192,0.7673,0.5998,0.67814,0.35727
247,yolo6l-d6w25_224,0.79275,0.64823,0.72481,0.36949
248,yolo6l-d6w25_256,0.82866,0.70207,0.77935,0.44083
249,yolo6l-d6w25_288,0.84618,0.73284,0.80869,0.46779
250,yolo6l-d6w25_320,0.86028,0.75755,0.83063,0.49038
251,yolo6l-d6w25_352,0.86964,0.77235,0.8453,0.50532
252,yolo6l-d6w25_384,0.87707,0.78846,0.8595,0.5216
253,yolo6l-d6w25_416,0.88559,0.7981,0.8706,0.53376
254,yolo6l-d6w25_448,0.88884,0.80305,0.87357,0.526
255,yolo6l-d6w25_480,0.89623,0.81223,0.88459,0.55174
256,yolo6l-d6w5_160,0.77179,0.54706,0.65043,0.35331
257,yolo6l-d6w5_192,0.81156,0.65108,0.73669,0.41476
258,yolo6l-d6w5_224,0.83708,0.69561,0.77727,0.41818
259,yolo6l-d6w5_256,0.86043,0.74845,0.82322,0.4904
260,yolo6l-d6w5_288,0.87468,0.77643,0.84801,0.51397
261,yolo6l-d6w5_320,0.88802,0.79427,0.86368,0.53158
262,yolo6l-d6w5_352,0.89493,0.81038,0.87755,0.54553
263,yolo6l-d6w5_384,0.90121,0.82033,0.88485,0.5547
264,yolo6l-d6w5_416,0.8999,0.82812,0.8914,0.56289
265,yolo6l-d6w5_448,0.90726,0.83003,0.89301,0.55289
266,yolo6l-d6w5_480,0.91051,0.83846,0.90003,0.57639
267,yolo6m-d1w25_160,0.7315,0.52002,0.60889,0.31117
268,yolo6m-d1w25_192,0.77894,0.60427,0.68627,0.3684
269,yolo6m-d1w25_224,0.80181,0.6652,0.73926,0.3821
270,yolo6m-d1w25_256,0.83718,0.71266,0.7909,0.45306
271,yolo6m-d1w25_288,0.85315,0.74648,0.82037,0.48027
272,yolo6m-d1w25_320,0.86637,0.77018,0.84049,0.50224
273,yolo6m-d1w25_352,0.876,0.78387,0.85531,0.5169
274,yolo6m-d1w25_384,0.88479,0.79666,0.86781,0.53323
275,yolo6m-d1w25_416,0.89329,0.8103,0.88011,0.54534
276,yolo6m-d1w25_448,0.89478,0.81567,0.88252,0.53658
277,yolo6m-d1w25_480,0.9009,0.82377,0.89089,0.5617
278,yolo6m-d33w25_160,0.72161,0.5214,0.6017,0.30212
279,yolo6m-d33w25_192,0.76409,0.6036,0.68018,0.35813
280,yolo6m-d33w25_224,0.79399,0.65027,0.72744,0.37042
281,yolo6m-d33w25_256,0.8307,0.70375,0.7816,0.44239
282,yolo6m-d33w25_288,0.84583,0.73309,0.80866,0.46886
283,yolo6m-d33w25_320,0.85701,0.75767,0.82977,0.48951
284,yolo6m-d33w25_352,0.86846,0.77193,0.84627,0.50639
285,yolo6m-d33w25_384,0.87662,0.78539,0.85831,0.52045
286,yolo6m-d33w25_416,0.88408,0.7985,0.87013,0.53352
287,yolo6m-d33w25_448,0.88667,0.8029,0.87416,0.52632
288,yolo6m-d33w25_480,0.89376,0.81082,0.88226,0.55058
289,yolo6m-d33w5_160,0.77263,0.56309,0.66228,0.35784
290,yolo6m-d33w5_192,0.81454,0.65001,0.73768,0.41612
291,yolo6m-d33w5_224,0.83327,0.69853,0.77783,0.41819
292,yolo6m-d33w5_256,0.86109,0.74617,0.82288,0.49113
293,yolo6m-d33w5_288,0.87636,0.77599,0.84917,0.51542
294,yolo6m-d33w5_320,0.88673,0.79479,0.86662,0.53502
295,yolo6m-d33w5_352,0.89114,0.81021,0.87669,0.54622
296,yolo6m-d33w5_384,0.8986,0.82139,0.8851,0.55631
297,yolo6m-d33w5_416,0.90238,0.82772,0.89146,0.56435
298,yolo6m-d33w5_448,0.90347,0.83288,0.89485,0.55208
299,yolo6m-d33w5_480,0.90484,0.83661,0.90118,0.57505
300,yolo6m-d33w75_160,0.79402,0.58394,0.68933,0.38504
301,yolo6m-d33w75_192,0.82841,0.66936,0.75946,0.44088
302,yolo6m-d33w75_224,0.84445,0.717,0.79873,0.43919
303,yolo6m-d33w75_256,0.87422,0.76452,0.84021,0.51352
304,yolo6m-d33w75_288,0.88361,0.79206,0.86148,0.53376
305,yolo6m-d33w75_320,0.89318,0.81063,0.8777,0.55104
306,yolo6m-d33w75_352,0.90032,0.82427,0.88818,0.5607
307,yolo6m-d33w75_384,0.90208,0.83319,0.89417,0.56837
308,yolo6m-d33w75_416,0.90531,0.84357,0.90252,0.57701
309,yolo6m-d33w75_448,0.90658,0.84174,0.90093,0.56136
310,yolo6m-d33w75_480,0.90775,0.85351,0.90685,0.58516
311,yolo6m-d6w25_160,0.73146,0.53307,0.61834,0.31482
312,yolo6m-d6w25_192,0.77474,0.61502,0.69284,0.36936
313,yolo6m-d6w25_224,0.80238,0.66367,0.73816,0.38006
314,yolo6m-d6w25_256,0.83877,0.71328,0.78835,0.45113
315,yolo6m-d6w25_288,0.85208,0.74219,0.8171,0.47669
316,yolo6m-d6w25_320,0.86536,0.76605,0.83829,0.49833
317,yolo6m-d6w25_352,0.87384,0.78344,0.85436,0.51438
318,yolo6m-d6w25_384,0.88206,0.79473,0.86554,0.52793
319,yolo6m-d6w25_416,0.88853,0.80392,0.87467,0.53991
320,yolo6m-d6w25_448,0.89322,0.8081,0.87768,0.53042
321,yolo6m-d6w25_480,0.89715,0.81841,0.88493,0.55451
322,yolo6m-d6w5_160,0.77306,0.55603,0.65931,0.35873
323,yolo6m-d6w5_192,0.81391,0.64505,0.7343,0.41715
324,yolo6m-d6w5_224,0.83628,0.70294,0.78389,0.42308
325,yolo6m-d6w5_256,0.86235,0.75076,0.82634,0.49627
326,yolo6m-d6w5_288,0.87802,0.77766,0.85032,0.51868
327,yolo6m-d6w5_320,0.88895,0.79957,0.86762,0.53632
328,yolo6m-d6w5_352,0.89375,0.8132,0.87973,0.54914
329,yolo6m-d6w5_384,0.90065,0.82439,0.88838,0.5602
330,yolo6m-d6w5_416,0.90579,0.83352,0.8944,0.56746
331,yolo6m-d6w5_448,0.90676,0.83846,0.89715,0.55449
332,yolo6m-d6w5_480,0.9083,0.8427,0.90179,0.57867
333,yolo6m-d6w75_160,0.79688,0.58494,0.69309,0.38911
334,yolo6m-d6w75_192,0.83238,0.67345,0.76424,0.44543
335,yolo6m-d6w75_224,0.84819,0.72061,0.80176,0.44347
336,yolo6m-d6w75_256,0.87592,0.76763,0.84245,0.51572
337,yolo6m-d6w75_288,0.88555,0.79509,0.86541,0.53839
338,yolo6m-d6w75_320,0.8957,0.81422,0.87987,0.55414
339,yolo6m-d6w75_352,0.89847,0.82843,0.89179,0.56513
340,yolo6m-d6w75_384,0.90338,0.83776,0.89824,0.57341
341,yolo6m-d6w75_416,0.91068,0.84773,0.9054,0.58014
342,yolo6m-d6w75_448,0.91062,0.84665,0.90674,0.56623
343,yolo6m-d6w75_480,0.91516,0.85477,0.91091,0.58982
344,yolo6s-d33w25_160,0.72028,0.51176,0.59703,0.30231
345,yolo6s-d33w25_192,0.76928,0.60915,0.68528,0.36115
346,yolo6s-d33w25_224,0.79542,0.65503,0.72955,0.3734
347,yolo6s-d33w25_256,0.82994,0.70824,0.78264,0.44436
348,yolo6s-d33w25_288,0.8448,0.73653,0.80978,0.4701
349,yolo6s-d33w25_320,0.86076,0.75961,0.83384,0.49384
350,yolo6s-d33w25_352,0.86953,0.77859,0.84917,0.51091
351,yolo6s-d33w25_384,0.8788,0.78839,0.86096,0.52469
352,yolo6s-d33w25_416,0.88392,0.8034,0.87335,0.53791
353,yolo6s-d33w25_448,0.89002,0.80457,0.87592,0.52886
354,yolo6s-d33w25_480,0.89491,0.81677,0.88698,0.55654
355,yolo6s-d33w5_160,0.76885,0.55376,0.65505,0.35519
356,yolo6s-d33w5_192,0.81144,0.6557,0.73805,0.41715
357,yolo6s-d33w5_224,0.8341,0.69837,0.77765,0.41997
358,yolo6s-d33w5_256,0.86244,0.75128,0.82549,0.49359
359,yolo6s-d33w5_288,0.87723,0.77889,0.84922,0.51827
360,yolo6s-d33w5_320,0.88485,0.79964,0.86609,0.53662
361,yolo6s-d33w5_352,0.89481,0.81273,0.87825,0.54824
362,yolo6s-d33w5_384,0.89955,0.8225,0.88534,0.55748
363,yolo6s-d33w5_416,0.90546,0.83169,0.89475,0.5687
364,yolo6s-d33w5_448,0.90439,0.83505,0.89523,0.55408
365,yolo6s-d33w5_480,0.90787,0.84659,0.90342,0.57845
366,yolo6s-d33w75_160,0.79407,0.58413,0.68969,0.38501
367,yolo6s-d33w75_192,0.83097,0.67174,0.76079,0.442
368,yolo6s-d33w75_224,0.84639,0.71907,0.79938,0.44063
369,yolo6s-d33w75_256,0.87649,0.76642,0.84364,0.51515
370,yolo6s-d33w75_288,0.88648,0.79504,0.86349,0.53494
371,yolo6s-d33w75_320,0.89598,0.81001,0.87743,0.55123
372,yolo6s-d33w75_352,0.90059,0.82522,0.88719,0.56162
373,yolo6s-d33w75_384,0.90199,0.83338,0.89425,0.56955
374,yolo6s-d33w75_416,0.9105,0.84359,0.90139,0.57762
375,yolo6s-d33w75_448,0.91046,0.84367,0.90138,0.56262
376,yolo6s-d33w75_480,0.91263,0.85484,0.90961,0.58751
377,yolo6s-d6w25_160,0.72844,0.52982,0.61108,0.30941
378,yolo6s-d6w25_192,0.77295,0.61526,0.69061,0.36726
379,yolo6s-d6w25_224,0.80358,0.66067,0.73557,0.37926
380,yolo6s-d6w25_256,0.83793,0.71569,0.79095,0.45347
381,yolo6s-d6w25_288,0.85132,0.74359,0.81748,0.47799
382,yolo6s-d6w25_320,0.86655,0.76713,0.84051,0.5021
383,yolo6s-d6w25_352,0.87169,0.78376,0.8524,0.51602
384,yolo6s-d6w25_384,0.88285,0.79754,0.86606,0.53176
385,yolo6s-d6w25_416,0.88794,0.80889,0.87632,0.5435
386,yolo6s-d6w25_448,0.89416,0.8147,0.88244,0.53623
387,yolo6s-d6w25_480,0.89657,0.82438,0.88826,0.55877
388,yolo6s-d6w5_160,0.76958,0.55911,0.66117,0.36081
389,yolo6s-d6w5_192,0.81673,0.65887,0.74587,0.42386
390,yolo6s-d6w5_224,0.83677,0.70472,0.78528,0.42657
391,yolo6s-d6w5_256,0.87138,0.7536,0.83091,0.50022
392,yolo6s-d6w5_288,0.88001,0.78291,0.85539,0.52417
393,yolo6s-d6w5_320,0.88912,0.80297,0.87207,0.54302
394,yolo6s-d6w5_352,0.8974,0.81805,0.88519,0.55646
395,yolo6s-d6w5_384,0.90143,0.83006,0.89285,0.56685
396,yolo6s-d6w5_416,0.90495,0.8376,0.89756,0.57307
397,yolo6s-d6w5_448,0.90751,0.84068,0.90093,0.56057
398,yolo6s-d6w5_480,0.91027,0.84834,0.90821,0.58646
399,yolo7l_160,0.81855,0.59563,0.71498,0.42083
400,yolo7l_192,0.85639,0.69282,0.7908,0.47895
401,yolo7l_224,0.86093,0.72814,0.81493,0.46368
402,yolo7l_256,0.89086,0.78474,0.86046,0.54159
403,yolo7l_288,0.89608,0.81115,0.87923,0.55769
404,yolo7l_320,0.90455,0.82838,0.89287,0.57116
405,yolo7l_352,0.90557,0.83871,0.90078,0.57767
