,model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
505,yolo8d67w25_384,0.88344,0.79636,0.86905,0.53432
506,yolo8d67w25_416,0.89287,0.80798,0.88069,0.54761
507,yolo8d67w25_448,0.89611,0.81293,0.88491,0.53926
508,yolo8d67w25_480,0.9024,0.82217,0.89278,0.56318
509,yolo8d67w5_160,0.78522,0.57234,0.67643,0.37231
510,yolo8d67w5_192,0.82124,0.65861,0.74766,0.42653
511,yolo8d67w5_224,0.84028,0.7078,0.78899,0.43081
512,yolo8d67w5_256,0.86799,0.75835,0.83403,0.5057
513,yolo8d67w5_288,0.87944,0.78485,0.85628,0.52559
514,yolo8d67w5_320,0.89073,0.80421,0.8737,0.5445
515,yolo8d67w5_352,0.89837,0.81577,0.8842,0.55642
516,yolo8d67w5_384,0.90128,0.8294,0.89058,0.56563
517,yolo8d67w5_416,0.9085,0.83477,0.89977,0.57395
518,yolo8d67w5_448,0.90901,0.83897,0.90205,0.56112
519,yolo8d67w5_480,0.91038,0.84811,0.90832,0.58475
520,yolo8l_160,0.81253,0.58428,0.70211,0.40588
521,yolo8l_192,0.84821,0.68614,0.78285,0.46672
522,yolo8l_224,0.85755,0.73756,0.81663,0.45954
523,yolo8l_256,0.88467,0.78091,0.85619,0.5332
524,yolo8l_288,0.8949,0.80624,0.87548,0.55108
525,yolo8l_320,0.90025,0.82414,0.8894,0.56554
526,yolo8l_352,0.90589,0.83305,0.89742,0.57317
527,yolo8l_384,0.90892,0.84582,0.90474,0.58102
528,yolo8l_416,0.91036,0.85178,0.90942,0.58721
529,yolo8l_448,0.90961,0.84976,0.90883,0.57097
530,yolo8l_480,0.91588,0.86129,0.91549,0.59458
531,yolo8m_160,0.76862,0.50842,0.63308,0.35876
532,yolo8m_192,0.81707,0.60945,0.71796,0.42222
533,yolo8m_224,0.82914,0.67665,0.76599,0.4267
534,yolo8m_256,0.86162,0.73678,0.81894,0.50373
535,yolo8m_288,0.872,0.77326,0.84602,0.52727
536,yolo8m_320,0.88893,0.79319,0.86695,0.54674
537,yolo8m_352,0.89385,0.81338,0.88038,0.55778
538,yolo8m_384,0.89877,0.82684,0.89015,0.56827
539,yolo8m_416,0.90815,0.83924,0.89857,0.57432
540,yolo8m_448,0.90559,0.84237,0.90062,0.56167
541,yolo8m_480,0.91175,0.85112,0.90693,0.58581
542,yolo8n_160,0.72628,0.52603,0.61201,0.31299
543,yolo8n_192,0.77757,0.60865,0.69158,0.36881
544,yolo8n_224,0.8047,0.65688,0.73663,0.38024
545,yolo8n_256,0.83549,0.70778,0.78746,0.45056
546,yolo8n_288,0.85342,0.73716,0.81629,0.476
547,yolo8n_320,0.86423,0.76255,0.83806,0.49846
548,yolo8n_352,0.87407,0.77545,0.85096,0.51309
549,yolo8n_384,0.88322,0.79055,0.8641,0.52715
550,yolo8n_416,0.88899,0.80155,0.8735,0.53877
551,yolo8n_448,0.89046,0.80562,0.87748,0.52963
552,yolo8n_480,0.8991,0.81457,0.88481,0.55523
553,yolo8s_160,0.77193,0.55292,0.65866,0.35977
554,yolo8s_192,0.81178,0.64199,0.73359,0.41786
555,yolo8s_224,0.82889,0.69151,0.77552,0.42082
556,yolo8s_256,0.86526,0.75262,0.82948,0.49772
557,yolo8s_288,0.87573,0.77885,0.84958,0.51737
558,yolo8s_320,0.88575,0.79917,0.8658,0.534
559,yolo8s_352,0.89345,0.80847,0.87756,0.54721
560,yolo8s_384,0.89762,0.82219,0.88763,0.55819
561,yolo8s_416,0.90584,0.8293,0.8936,0.56638
562,yolo8s_448,0.90412,0.83279,0.89765,0.55403
563,yolo8s_480,0.91058,0.84176,0.90478,0.57854
