model_name,nano_gpu_latency,openvino_latency,vim3_latency,raspi4_tflite_latency,orange_pi_latency,a40_trt_latency
yolo5d67w1_288,0.2179630823930104,0.0351416504383087,0.1338663333333333,1.29666,0.0899816633333333,0.0031377911567687
yolo5d67w1_320,0.2497449958324432,0.0424531098206837,0.1557833333333333,1.5766233333333333,0.1133159466666666,0.0031901574134826
yolo5d67w1_352,0.2796427758534749,0.0493953673044839,0.1885523333333333,1.93899,0.1331570733333333,0.0035082602500915
yolo5d67w1_384,0.3173670796553294,0.0576332835356394,0.2108866666666666,2.268443333333334,0.1478712966666666,0.0035823822021484
yolo5d67w1_416,0.3876924928029377,0.0676141281922657,0.2422766666666666,2.669666666666666,0.1817881033333332,0.0041112184524536
yolo5d67w1_448,0.4193188913663228,0.0795517663160959,0.2762163333333333,3.110746666666667,0.2000155766666666,0.004221715927124
yolo5d67w1_480,0.4691223529974619,0.095928167104721,0.3075236666666667,3.5477233333333333,0.2257407333333333,0.0047048473358154
yolo5d67w25_160,0.0249820892016092,0.0019401303927103,0.0096453333333333,0.0267266666666666,0.0170420666666666,0.0011837887763977
yolo5d67w25_192,0.025599265495936,0.0023435350259144,0.0125503333333333,0.03605,0.01937535,0.0012089729309082
yolo5d67w25_224,0.0264173634847005,0.0028920757770537,0.0156066666666666,0.0492299999999999,0.02493651,0.0012430429458618
yolo5d67w25_256,0.0268906247615813,0.0034097258249918,0.0193226666666666,0.06358,0.0223084866666666,0.0012701416015625
yolo5d67w25_288,0.0364393500487009,0.0041640885670979,0.0283856666666666,0.0818,0.0271803,0.0013739585876464
yolo5d67w25_320,0.0402021833260853,0.004779930114746,0.0323443333333333,0.1042366666666666,0.03152788,0.0013489365577697
yolo5d67w25_352,0.0465862274169921,0.0055990008513132,0.0389343333333333,0.1259166666666666,0.0366504633333332,0.0013634467124938
yolo5d67w25_384,0.0512012950579325,0.0062453170617421,0.04511,0.1497566666666666,0.0358001133333333,0.0014430475234985
yolo5d67w25_416,0.0621346374352772,0.0073125481605529,0.052721,0.17949,0.0415010366666666,0.0014769077301025
yolo5d67w25_448,0.0684169820944467,0.0080794386068979,0.060181,0.2119933333333333,0.0456110999999999,0.0015625977516174
yolo5d67w25_480,0.078596581617991,0.0092081137498219,0.0686013333333333,0.24534,0.0547792866666666,0.0016106081008911
yolo5d67w5_160,0.0359287885824838,0.0051099359989165,0.0183306666666666,0.1151566666666666,0.02337164,0.0016743350028991
yolo5d67w5_192,0.0431830461819966,0.0062841244538624,0.024197,0.1557866666666666,0.0311801199999999,0.0017059350013732
yolo5d67w5_224,0.0518019258975982,0.0078032632668812,0.0325503333333333,0.22195,0.0332916599999999,0.001760287284851
yolo5d67w5_256,0.0565042368570963,0.0094969828923543,0.0411796666666666,0.22485,0.0423861333333333,0.0017790722846984
yolo5d67w5_288,0.0811884510517119,0.0109264723459879,0.0583456666666666,0.2949033333333333,0.0515331633333333,0.0019910669326782
yolo5d67w5_320,0.0921985097726186,0.0129810229937235,0.069207,0.3618433333333333,0.0553483133333333,0.0019594144821166
yolo5d67w5_352,0.103094390630722,0.0151546839872995,0.0806933333333333,0.43742,0.0677186499999999,0.0020433807373046
yolo5d67w5_384,0.1222355429331461,0.0172510886192321,0.0953189999999999,0.5310433333333333,0.0740434733333333,0.0021187949180603
yolo5d67w5_416,0.1479594139258066,0.0199239857991535,0.1093536666666666,0.6393966666666667,0.0858899399999999,0.0022496008872985
yolo5d67w5_448,0.1619416133562723,0.0225701848665872,0.124591,0.7362033333333334,0.0941035433333333,0.0022823882102966
yolo5d67w5_480,0.1835984977086384,0.030222181479136,0.1437896666666666,0.8476566666666666,0.1059119966666666,0.0024508023262023
yolo5l_160,0.1113085401058196,0.0181097010771432,0.0483,0.61607,0.04927839,0.0032804679870605
yolo5l_192,0.1430174708366393,0.0229660872618357,0.06475,0.8373966666666667,0.0511992266666666,0.0032867646217346
yolo5l_224,0.1680332140127817,0.0286080956459044,0.0847023333333333,1.1824933333333334,0.07418918,0.0034020233154296
yolo5l_256,0.1827391831080118,0.0366487590471903,0.10176,1.1815766666666667,0.08367784,0.0034505867958068
yolo5l_288,0.258457695643107,0.0421490661303202,0.1548333333333333,1.5520133333333332,0.10224028,0.0038050103187561
yolo5l_320,0.294153356552124,0.0508274789651234,0.180467,1.89376,0.12633152,0.003833429813385
yolo5l_352,0.3272070538997649,0.0591749882698058,0.2188613333333333,2.28452,0.1480304266666667,0.0042083191871643
yolo5l_384,0.3721501537164052,0.0747466115156809,0.243924,2.722386666666667,0.16581674,0.0043461346626281
yolo5l_416,0.4522829008102416,0.0811428479353586,0.2832626666666666,3.2158866666666666,0.2045522066666666,0.0049000144004821
