model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
yolo5d1w75_288,0.83692,0.78525,0.85643,0.66781
yolo5d1w75_320,0.81397,0.79474,0.86214,0.67725
yolo5d1w75_352,0.83015,0.8133,0.8788,0.69378
yolo5d1w75_384,0.82651,0.81471,0.88102,0.69756
yolo5d1w75_416,0.82306,0.82117,0.88266,0.70518
yolo5d1w75_448,0.82793,0.83075,0.88989,0.71549
yolo5d1w75_480,0.83743,0.82238,0.88824,0.71394
yolo5d67w1_160,0.7919,0.70293,0.76663,0.56757
yolo5d67w1_192,0.81542,0.73859,0.80524,0.61009
yolo5d67w1_224,0.8239,0.76383,0.82825,0.63626
yolo5d67w1_256,0.83487,0.79067,0.84697,0.65847
yolo5d67w1_288,0.83444,0.79627,0.85735,0.67459
yolo5d67w1_320,0.81809,0.80168,0.86758,0.67747
yolo5d67w1_352,0.82138,0.81579,0.8785,0.68786
yolo5d67w1_384,0.83817,0.81792,0.88925,0.70297
yolo5d67w1_416,0.84117,0.82026,0.89248,0.71698
yolo5d67w1_448,0.82714,0.83391,0.89246,0.71885
yolo5d67w1_480,0.84232,0.82889,0.89308,0.71782
yolo5d67w25_160,0.70681,0.554,0.62634,0.42996
yolo5d67w25_192,0.725,0.61519,0.68216,0.47882
yolo5d67w25_224,0.75555,0.64979,0.72073,0.51755
yolo5d67w25_256,0.77814,0.66724,0.75185,0.54878
yolo5d67w25_288,0.79559,0.69302,0.77519,0.57375
yolo5d67w25_320,0.78092,0.71673,0.78658,0.58835
yolo5d67w25_352,0.8022,0.72673,0.80335,0.60406
yolo5d67w25_384,0.80399,0.72951,0.81078,0.61469
yolo5d67w25_416,0.82171,0.73862,0.82263,0.62732
yolo5d67w25_448,0.80527,0.74841,0.82289,0.62785
yolo5d67w25_480,0.80929,0.75057,0.82982,0.63236
yolo5d67w5_160,0.75674,0.64657,0.71306,0.51415
yolo5d67w5_192,0.77992,0.69343,0.76181,0.55806
yolo5d67w5_224,0.80804,0.71973,0.78993,0.59308
yolo5d67w5_256,0.80144,0.75134,0.81341,0.61649
yolo5d67w5_288,0.82625,0.75779,0.83378,0.63887
yolo5d67w5_320,0.81941,0.77027,0.83626,0.64873
yolo5d67w5_352,0.81918,0.78861,0.85085,0.66087
yolo5d67w5_384,0.83226,0.78541,0.85189,0.66684
yolo5d67w5_416,0.83451,0.79171,0.85721,0.67167
yolo5d67w5_448,0.83249,0.79576,0.86111,0.67933
yolo5d67w5_480,0.82444,0.79535,0.86546,0.67793
yolo5l_160,0.78877,0.71379,0.77176,0.57629
yolo5l_192,0.81703,0.73341,0.80836,0.6153
yolo5l_224,0.82776,0.76382,0.83192,0.64201
yolo5l_256,0.84143,0.78489,0.84894,0.66474
yolo5l_288,0.8294,0.79818,0.85947,0.67873
yolo5l_320,0.83163,0.81498,0.86748,0.69151
yolo5l_352,0.81882,0.82807,0.8808,0.70216
yolo5l_384,0.81756,0.83366,0.88396,0.71072
yolo5l_416,0.84785,0.82218,0.87893,0.70911
yolo5l_448,0.85177,0.82658,0.88475,0.71846
yolo5l_480,0.83417,0.84583,0.89937,0.73075
yolo5m_160,0.78366,0.68057,0.75159,0.54973
yolo5m_192,0.80685,0.71889,0.79063,0.59494
yolo5m_224,0.82172,0.74668,0.81679,0.62341
yolo5m_256,0.83415,0.75849,0.83385,0.64137
yolo5m_288,0.82538,0.7868,0.84622,0.66155
yolo5m_320,0.83774,0.78349,0.85692,0.673
yolo5m_352,0.83365,0.80138,0.86035,0.67991
yolo5m_384,0.84342,0.80153,0.86863,0.69006
yolo5m_416,0.81529,0.81764,0.87588,0.68958
yolo5m_448,0.83092,0.82708,0.88483,0.70785
yolo5m_480,0.82299,0.82484,0.8837,0.70807
yolo5n_160,0.68858,0.53754,0.60779,0.40998
yolo5n_192,0.71812,0.59296,0.66313,0.45829
yolo5n_224,0.73809,0.62984,0.70189,0.49688
yolo5n_256,0.76521,0.65475,0.73181,0.52653
yolo5n_288,0.77756,0.67536,0.75401,0.54961
yolo5n_320,0.78614,0.68418,0.77177,0.56586
yolo5n_352,0.79403,0.68881,0.77729,0.57257
yolo5n_384,0.78754,0.72015,0.79478,0.58687
yolo5n_416,0.80024,0.72068,0.8006,0.59305
yolo5n_448,0.80109,0.72548,0.80397,0.59734
yolo5n_480,0.80847,0.72959,0.80946,0.60007
yolo5s_160,0.73788,0.63894,0.70121,0.49779
yolo5s_192,0.78544,0.66887,0.74588,0.54175
yolo5s_224,0.78624,0.71081,0.78096,0.57658
yolo5s_256,0.80341,0.72863,0.80266,0.60012
yolo5s_288,0.80861,0.75608,0.82146,0.6224
yolo5s_320,0.83073,0.75111,0.83126,0.63489
yolo5s_352,0.82382,0.76333,0.8368,0.63985
yolo5s_384,0.83264,0.77018,0.84658,0.65238
yolo5s_416,0.82553,0.7766,0.84626,0.65437
yolo5s_448,0.83144,0.78078,0.85173,0.6584
yolo5s_480,0.82901,0.77843,0.85099,0.6578
yolo6l-d1w25_160,0.73469,0.57117,0.64596,0.44742
yolo6l-d1w25_192,0.76125,0.6228,0.70467,0.49801
yolo6l-d1w25_224,0.77487,0.66802,0.74037,0.53628
yolo6l-d1w25_256,0.77236,0.69758,0.76403,0.5603
yolo6l-d1w25_288,0.80176,0.70581,0.78475,0.58183
yolo6l-d1w25_320,0.79517,0.73391,0.80071,0.60048
yolo6l-d1w25_352,0.806,0.73799,0.81342,0.61428
yolo6l-d1w25_384,0.82115,0.73737,0.8214,0.62657
