mAP_0.5:0.95_voc,mAP_0.5_voc,precision_voc,recall_voc,mAP_0.5:0.95_sku,mAP_0.5_sku,precision_sku,recall_sku,mAP_0.5:0.95_wider,mAP_0.5_wider,precision_wider,recall_wider,mAP_0.5:0.95_coco,mAP_0.5_coco,precision_coco,recall_coco,nano_gpu_latency,openvino_latency,vim3_latency,raspi4_tflite_latency,orange_pi_latency,a40_trt_latency,pi5_ort_latency,pi4_ort_latency,model_name,model_family
0.64382,0.83922,0.81975,0.77688,0.54572,0.87358,0.89561,0.80655,0.30035,0.55151,0.80734,0.47229,0.3642306641097756,0.5146038837089433,0.6375311763596162,0.4812655913653038,113.8634578386942,18.5082109769185,88.1626666666666,588.2933333333333,68.0559933333333,1.8449187278747,183.8464140892028,578.6442557970682,yolo3d67w5_352,YOLOv3
0.65318,0.84574,0.82878,0.78222,0.55796,0.88561,0.89823,0.82024,0.31573,0.58119,0.81403,0.50203,0.3792412110779394,0.5339090459773854,0.6525419753172356,0.4921138952693054,126.3642863432565,21.28685116767869,94.725,705.2866666666667,75.5634599999999,1.9351863861083,214.6269023418426,674.1210560003917,yolo3d67w5_384,YOLOv3
0.65953,0.85036,0.81066,0.80439,0.56627,0.89103,0.90318,0.82827,0.33212,0.60518,0.82698,0.52187,0.390958926652568,0.5469403198963788,0.672718730372896,0.4981776707594283,154.00764505068452,25.1221243540445,118.1463333333333,826.4133333333333,87.06527666666659,2.1672892570495,244.0369701385498,794.5339850584667,yolo3d67w5_416,YOLOv3
0.65926,0.8527,0.83757,0.78796,0.55244,0.89408,0.90557,0.83229,0.34429,0.62857,0.83457,0.54204,0.4001835336228967,0.5589590423956545,0.6799622804219727,0.50530980594062,166.6717739899953,28.3654352029164,124.1586666666666,963.12,99.76912333333333,2.2862982749938,278.1612479686737,943.6283326148987,yolo3d67w5_448,YOLOv3
0.66383,0.85244,0.83053,0.79462,0.57916,0.90162,0.90873,0.84245,0.3549,0.64804,0.83567,0.56517,0.4088833515333606,0.5682898494133766,0.6720905560704745,0.5113378246498227,185.8790898323058,32.173363765080694,143.03199999999998,1108.88,110.9340566666666,2.4873042106628,329.4968199729919,1078.777623176575,yolo3d67w5_480,YOLOv3
0.42068,0.62955,0.7182,0.55811,0.31253,0.60782,0.72989,0.52081,0.13301,0.26543,0.63469,0.22688,0.1281725994648453,0.1984656249890368,0.4055604842939743,0.2004838158790746,16.2782390912373,1.6511817773182,7.967,31.53,13.3770833333333,0.8562803268432,11.9307959079742,38.9800186951954,yolo3n_160,YOLOv3
0.4633,0.67502,0.73803,0.60504,0.36777,0.68292,0.77739,0.6014,0.15826,0.30986,0.67435,0.26718,0.1621573499482092,0.2484454469057493,0.4404089550379962,0.2437286662561233,19.172970851262303,2.0789452393849,10.729,43.4299999999999,16.848423333333198,0.8795809745787999,15.7379794120788,52.0152568817138,yolo3n_192,YOLOv3
0.49874,0.71001,0.76913,0.62423,0.37698,0.73166,0.80029,0.65443,0.18301,0.35376,0.70399,0.30397,0.1930238792161542,0.2924719787532443,0.4765440733216005,0.2805708159826986,22.0433537165323,2.6268068949380003,12.8233333333333,58.953333333333305,18.52549,0.8971571922302,20.8717024326324,71.63487037022901,yolo3n_224,YOLOv3
0.52475,0.73835,0.77418,0.65344,0.44874,0.78283,0.83352,0.70704,0.20539,0.39289,0.72938,0.33831,0.214943305827342,0.3241025469679316,0.4954829635562746,0.3119042897766138,25.1525151729583,3.2146084308623,16.639999999999997,72.54333333333331,18.8037466666666,0.9322309494018,25.9179532527923,86.5291341145833,yolo3n_256,YOLOv3
0.54273,0.75951,0.77348,0.68611,0.47446,0.81233,0.85023,0.7358,0.2236,0.4284,0.74316,0.3704,0.2355085429054738,0.3540875785031873,0.5229840429883967,0.3294000592339307,35.484103759129795,3.8694751262664,24.7056666666666,94.7166666666666,22.2099433333333,0.9894609451293,35.1673865318298,116.0607747236887,yolo3n_288,YOLOv3
0.55549,0.77081,0.78515,0.69635,0.49658,0.83295,0.86476,0.75816,0.24671,0.46799,0.7612,0.4036,0.2521998028575927,0.377532554763181,0.5504280357060443,0.3507303468354449,40.623968442281,4.6393028895059,28.0096666666666,114.53,25.6053899999999,1.0185527801513,44.726189374923706,139.3672891457875,yolo3n_320,YOLOv3
0.56838,0.78315,0.78292,0.71395,0.51021,0.84671,0.86725,0.77358,0.26349,0.4965,0.77679,0.42824,0.2694129761157258,0.3974251315667725,0.5581506496637598,0.3713239683654007,46.330044666926,5.4591206709543005,36.207,139.09666666666658,29.2094566666666,1.0522866249084,58.6186897754669,171.36790831883738,yolo3n_352,YOLOv3
0.57901,0.79304,0.80008,0.71089,0.52616,0.85952,0.88203,0.78407,0.28089,0.52757,0.78844,0.45578,0.2824706035362224,0.4166354889358302,0.5779730528734067,0.3841641128727749,51.2650374571482,6.2640372912088,40.1176666666666,173.5166666666666,32.66972,1.1028361320495002,68.1308937072753,196.8533507982889,yolo3n_384,YOLOv3
0.58384,0.79342,0.77811,0.72495,0.53722,0.8709,0.88449,0.8015,0.29594,0.54926,0.79425,0.47687,0.2927635521596886,0.4279229635894254,0.5787437485774245,0.3925186647524832,61.0733652114867,7.6355222860971,43.529333333333305,202.0133333333333,38.02791,1.1744904518127,83.6171782016754,239.00303522745762,yolo3n_416,YOLOv3
0.59057,0.80338,0.81207,0.71277,0.52892,0.87345,0.89023,0.80409,0.30919,0.57677,0.80938,0.50087,0.3006743307388935,0.4399579952304842,0.5789302625485345,0.4098487804680824,68.6830619970957,8.276521762212,53.6776666666666,235.30666666666664,42.5686266666666,1.2326312065124,100.9765875339508,275.17331282297766,yolo3n_448,YOLOv3
0.59017,0.80478,0.79941,0.73442,0.55497,0.88273,0.89652,0.81282,0.32094,0.5963,0.81913,0.51723,0.3085584927299982,0.4487097432624979,0.5784160345126329,0.4211350567328967,77.7641987800597,9.351881345113,62.70399999999999,266.9433333333333,48.304463333333295,1.3168811798095,117.826976776123,307.933368285497,yolo3n_480,YOLOv3
0.45315,0.65053,0.71964,0.57861,0.33224,0.63417,0.74757,0.54445,0.13682,0.26945,0.64967,0.22846,0.1609967719943722,0.2437942440842927,0.4600956672461357,0.2378794164791904,29.4407200813292,2.864441871643,16.252,36.0999999999999,23.5482166666666,1.5893959999084,15.4408037662506,50.0699198246001,yolo4d1w25_160,YOLOv4
0.50264,0.70514,0.74546,0.63423,0.39152,0.71398,0.79682,0.62966,0.16321,0.31786,0.68596,0.27216,0.1996191084164697,0.2966077471798677,0.5097262281384578,0.2839294197753342,31.2631734212239,3.2513014475504,20.4463333333333,50.4699999999999,32.7142166666666,1.6119241714477,20.1221978664398,69.68970894813529,yolo4d1w25_192,YOLOv4
0.53831,0.74162,0.7722,0.66861,0.39828,0.7561,0.82086,0.6756,0.19025,0.36313,0.71698,0.31211,0.232547636151637,0.3414465604676492,0.5433797067101696,0.3223470897622292,32.0662140846252,3.9593291282653,25.6596666666666,68.2433333333333,33.1116333333333,1.6549324989318,27.3282849788665,91.3486138979593,yolo4d1w25_224,YOLOv4
0.56492,0.76706,0.78036,0.70143,0.46825,0.80251,0.84635,0.7259,0.21255,0.4029,0.73718,0.34624,0.2602143954521773,0.3803258454240993,0.5741889926890146,0.3521359721406962,35.9675971666971,4.6174573898314994,32.7346666666666,86.1933333333333,33.5996066666666,1.6652822494506,32.9449236392974,109.32723522186271,yolo4d1w25_256,YOLOv4
0.59027,0.78774,0.78755,0.72131,0.49444,0.83069,0.86139,0.75586,0.23278,0.44018,0.75119,0.37931,0.284456895301832,0.4099832302335572,0.5821363928869537,0.3793078692949815,49.605261882146095,5.604110558827601,44.3869999999999,113.9266666666666,39.4648333333333,1.7906308174133,44.32058095932,143.23934237162263,yolo4d1w25_288,YOLOv4
0.61046,0.80638,0.79643,0.73424,0.51471,0.85013,0.87554,0.77682,0.25638,0.47832,0.7648,0.41243,0.3036752822099686,0.4370538257463359,0.5907854199263604,0.4095824782932112,55.6539432207743,6.3449398676554,54.2616666666666,139.0733333333333,49.06814,1.7952275276184,55.564157962799,177.3273348808288,yolo4d1w25_320,YOLOv4
0.62047,0.81568,0.8064,0.7488,0.528,0.862,0.88144,0.79042,0.27348,0.51026,0.79064,0.43813,0.3204513613601779,0.4566770800615197,0.6059091549650203,0.4213886948510993,65.1383511225382,7.4692952632903005,64.286,171.31666666666658,54.7828966666666,1.7815566062927,68.0202293395996,221.3466370105743,yolo4d1w25_352,YOLOv4
0.63358,0.82668,0.81769,0.74964,0.54259,0.87352,0.89063,0.80252,0.28873,0.53686,0.78757,0.46565,0.3367658050135426,0.4751284800294901,0.6252923793311522,0.4355004326729562,71.6371456782022,8.3650056521097,75.0323333333333,205.53,56.207516666666606,1.8581843376159,82.498060464859,262.4997174739837,yolo4d1w25_384,YOLOv4
0.64556,0.83589,0.81226,0.77093,0.55066,0.88032,0.89447,0.80986,0.30491,0.56342,0.80287,0.48945,0.3483213274958893,0.4917768592651587,0.6399989223742213,0.4499908343080725,86.6077788670857,9.8197627067565,83.2673333333333,249.8566666666667,65.26433,1.9477772712707,99.5423424243927,305.4221109549204,yolo4d1w25_416,YOLOv4
0.65158,0.84258,0.82201,0.77028,0.54243,0.88613,0.8997,0.81916,0.31762,0.58731,0.81099,0.51075,0.3595839573463565,0.505786061624363,0.6347420821776474,0.4662618727929105,95.0548414389292,10.84796945254,95.304,290.3666666666666,67.7457633333333,2.0221352577209,118.9320504665374,365.9158734480539,yolo4d1w25_448,YOLOv4
0.65208,0.84294,0.82273,0.76959,0.56924,0.89676,0.9039,0.82879,0.33115,0.60971,0.82113,0.53261,0.3691379005089278,0.5162168394053894,0.6331301488512147,0.4768852833658183,106.8845498561858,12.2900998592376,112.136,345.0366666666666,74.6505533333333,2.1014714241027,140.241379737854,409.3187193075815,yolo4d1w25_480,YOLOv4
0.54364,0.74098,0.76971,0.66616,0.37783,0.67427,0.7853,0.56484,0.16459,0.31202,0.69479,0.25245,0.2290763014537217,0.3351182342920626,0.5564020673239163,0.3163062440106099,47.1994431813557,6.8088424205779,30.46,156.20666666666668,31.708049999999897,2.1970963478088,45.401591062545705,152.56254235903418,yolo4d1w5_160,YOLOv4
0.58596,0.78241,0.79761,0.70971,0.43793,0.75612,0.82592,0.66767,0.19504,0.36392,0.72894,0.30097,0.2702975942954665,0.3884931617982558,0.5908091088999597,0.3612343648300479,58.7350734074909,8.1592814127603,38.155333333333296,214.7566666666666,40.1065699999999,2.2437334060668,57.0772123336792,198.1386756896972,yolo4d1w5_192,YOLOv4
0.61038,0.80565,0.80853,0.73529,0.43624,0.7927,0.8418,0.7137,0.2227,0.41073,0.74836,0.34478,0.3071950993721878,0.4370815972032284,0.6138177623666919,0.4016511580805179,69.3344620863596,10.1131796836852,50.6686666666666,303.58000000000004,46.50236,2.3038005828857,79.8472356796264,263.3606847127278,yolo4d1w5_224,YOLOv4
0.63545,0.82647,0.826,0.75802,0.51266,0.84086,0.87221,0.76437,0.24558,0.4507,0.76206,0.38133,0.3339061541874935,0.4729714000817958,0.6284931493576871,0.4382233945298368,76.953035990397,12.2999385992685,64.61200000000001,308.9533333333333,51.2607866666666,2.37877368927,94.9012959003448,316.8338282903035,yolo4d1w5_256,YOLOv4
0.65477,0.84202,0.82198,0.77839,0.53245,0.86011,0.8849,0.78807,0.26634,0.48961,0.77635,0.41794,0.3575446256862765,0.5008726720997114,0.6586860425025723,0.4532617023740483,111.94860617319728,14.5797236760457,90.747,395.9533333333334,62.0447366666666,2.4908995628356,126.77806973457332,419.0419316291808,yolo4d1w5_288,YOLOv4
0.66665,0.84896,0.83388,0.77685,0.54952,0.87626,0.89078,0.80878,0.29107,0.53061,0.79495,0.45381,0.3791138086540036,0.5267714523599064,0.6596989635509947,0.4857456376412406,126.22641762097668,17.075795729955,112.966,497.6233333333333,75.8858866666666,2.6514077186584,154.7803270816803,514.7939638296763,yolo4d1w5_320,YOLOv4
0.67544,0.85994,0.84035,0.7891,0.55889,0.88402,0.89571,0.81831,0.30737,0.55827,0.80757,0.47801,0.393376439849991,0.5440373992888239,0.6608002970869136,0.5011463313846487,141.5583022435506,19.94254708290089,128.0716666666666,593.1666666666666,86.48198,2.6777911186218,192.5884902477264,628.5757835706075,yolo4d1w5_352,YOLOv4
0.68637,0.86841,0.8288,0.81643,0.5695,0.89388,0.90246,0.83153,0.32392,0.58938,0.81721,0.50793,0.4098001496704075,0.5628773591443862,0.6802333299870448,0.5163817049162729,158.6724797884622,23.170581658681098,146.5526666666666,712.5166666666667,94.11122,2.7436137199401,228.2115995883941,729.5398692289988,yolo4d1w5_384,YOLOv4
0.69323,0.8683,0.84483,0.80145,0.57605,0.89975,0.90641,0.83851,0.34084,0.6132,0.82925,0.52882,0.4215739120881586,0.5774239804809712,0.7032372335242577,0.5195475463964232,192.0911904176075,26.7312729358672,179.458,847.5999999999999,104.9573166666666,2.9928755760192,277.7098190784454,868.9648624261221,yolo4d1w5_416,YOLOv4
0.69759,0.87655,0.8438,0.80661,0.5634,0.90189,0.90771,0.84038,0.35311,0.63827,0.84096,0.55141,0.4328338636711084,0.591119863781832,0.6942584817223545,0.5408349553338516,209.2390429973602,30.3811593850453,201.3446666666666,995.8166666666668,119.6019966666666,3.0913734436035,329.41631197929377,1022.0295917987825,yolo4d1w5_448,YOLOv4
0.70078,0.87449,0.84133,0.81258,0.58649,0.90848,0.90798,0.85062,0.36481,0.65886,0.84146,0.57335,0.440841507674079,0.5987313049149906,0.6910828469358137,0.5506790857493946,235.4116972287495,34.4997696081796,229.4716666666666,1152.6466666666663,133.1012166666666,3.4274816513061004,391.58552765846247,1187.1051303545635,yolo4d1w5_480,YOLOv4
0.59675,0.79353,0.80477,0.726,0.41295,0.70655,0.81012,0.59184,0.18267,0.33908,0.72114,0.26913,0.2805865022800765,0.4017002979831314,0.6014285014062541,0.3763387568652169,123.1609400113423,19.6122662226358,63.402,690.7966666666666,52.8766666666666,3.4955143928527,155.1804316043853,494.7082050641377,yolo4l_160,YOLOv4
0.63163,0.82221,0.81883,0.76042,0.47286,0.78557,0.84796,0.69189,0.21482,0.39454,0.74646,0.3195,0.3195068573713702,0.4508943927348589,0.6281383566249095,0.416708001941651,161.2120521068572,24.852078755696503,80.36066666666659,944.9933333333332,57.0710933333333,3.5468769073486,193.1136119365692,626.4348729451498,yolo4l_192,YOLOv4
0.65961,0.84675,0.83454,0.77858,0.46374,0.81896,0.86127,0.73759,0.24365,0.4422,0.76333,0.36598,0.3539419787842837,0.4944189791637036,0.6614302019683969,0.4490151137012534,189.0918672084807,31.2946577866871,111.34133333333332,1332.91,78.12291,3.7458801269531,279.04790759086603,886.0139071941377,yolo4l_224,YOLOv4
0.67331,0.85781,0.84209,0.7901,0.53861,0.85891,0.88604,0.7848,0.26753,0.48372,0.78765,0.40431,0.3819468301452713,0.5314970568355665,0.6600592171489783,0.4902285063138089,208.147641023,39.49609637260431,130.5213333333333,1333.013333333333,88.1962866666666,3.8302397727966,323.1896495819091,1058.3707706133525,yolo4l_256,YOLOv4
0.69057,0.86893,0.85416,0.79925,0.55698,0.87777,0.89439,0.80889,0.29019,0.52238,0.80473,0.43897,0.4067841733764128,0.5605165016215994,0.6917670236283371,0.5107106068837062,291.09426697095233,46.1653884251911,195.9533333333333,1721.65,112.3805,4.269936084747299,409.5920324325561,1427.2791496912637,yolo4l_288,YOLOv4
0.70123,0.87491,0.84544,0.81573,0.56906,0.89097,0.9002,0.8271,0.3142,0.56438,0.80966,0.47927,0.4278307150931993,0.5867782395894088,0.6893069781273576,0.5391808956298367,330.7232213020324,56.06104453404741,227.2283333333333,2093.066666666666,141.8555766666666,4.3758535385131,471.1216402053833,1714.4188193480172,yolo4l_320,YOLOv4
0.71011,0.88241,0.85136,0.82711,0.57683,0.89814,0.9044,0.8376,0.33078,0.59255,0.8311,0.50378,0.4438361512265187,0.6033140907288915,0.7037203524354387,0.548455192141933,366.6558619340261,66.2580207983652,269.1613333333333,2503.956666666667,161.9310033333333,4.76975440979,608.3292639255524,2087.997680505117,yolo4l_352,YOLOv4
0.72002,0.89313,0.84774,0.83021,0.58402,0.9044,0.90899,0.84588,0.34719,0.62241,0.83075,0.53556,0.4577007617307674,0.619188240115969,0.6956703450080385,0.5730658867284092,425.5180144309997,81.8353947003681,318.788,3033.71,181.94202666666652,4.8092937469482,723.1704318523407,2416.2594330310817,yolo4l_384,YOLOv4
0.72477,0.8914,0.85821,0.83364,0.58919,0.90965,0.91275,0.85352,0.3636,0.64631,0.84782,0.55451,0.468414287433216,0.631453774933891,0.7126060375533609,0.5784288539563361,513.9301609992981,97.4292667706807,367.5423333333333,3563.6800000000003,219.02160333333327,5.5978393554687,882.7991783618927,2873.206935326258,yolo4l_416,YOLOv4
0.7244,0.89135,0.85964,0.83281,0.57325,0.90876,0.91479,0.85097,0.37472,0.67047,0.84858,0.58115,0.4761831056608459,0.6392173228487371,0.7061602287506995,0.589073316965645,554.429447253545,110.4304142793019,416.5703333333333,4122.533333333334,245.84244,5.6962084770202,1032.332727909088,3326.2840537230177,yolo4l_448,YOLOv4
