model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
yolo3n_320,0.7612,0.4036,0.46799,0.24671
yolo3n_352,0.77679,0.42824,0.4965,0.26349
yolo3n_384,0.78844,0.45578,0.52757,0.28089
yolo3n_416,0.79425,0.47687,0.54926,0.29594
yolo3n_448,0.80938,0.50087,0.57677,0.30919
yolo3n_480,0.81913,0.51723,0.5963,0.32094
yolo4d1w25_160,0.64967,0.22846,0.26945,0.13682
yolo4d1w25_192,0.68596,0.27216,0.31786,0.16321
yolo4d1w25_224,0.71698,0.31211,0.36313,0.19025
yolo4d1w25_256,0.73718,0.34624,0.4029,0.21255
yolo4d1w25_288,0.75119,0.37931,0.44018,0.23278
yolo4d1w25_320,0.7648,0.41243,0.47832,0.25638
yolo4d1w25_352,0.79064,0.43813,0.51026,0.27348
yolo4d1w25_384,0.78757,0.46565,0.53686,0.28873
yolo4d1w25_416,0.80287,0.48945,0.56342,0.30491
yolo4d1w25_448,0.81099,0.51075,0.58731,0.31762
yolo4d1w25_480,0.82113,0.53261,0.60971,0.33115
yolo4d1w5_160,0.69479,0.25245,0.31202,0.16459
yolo4d1w5_192,0.72894,0.30097,0.36392,0.19504
yolo4d1w5_224,0.74836,0.34478,0.41073,0.2227
yolo4d1w5_256,0.76206,0.38133,0.4507,0.24558
yolo4d1w5_288,0.77635,0.41794,0.48961,0.26634
yolo4d1w5_320,0.79495,0.45381,0.53061,0.29107
yolo4d1w5_352,0.80757,0.47801,0.55827,0.30737
yolo4d1w5_384,0.81721,0.50793,0.58938,0.32392
yolo4d1w5_416,0.82925,0.52882,0.6132,0.34084
yolo4d1w5_448,0.84096,0.55141,0.63827,0.35311
yolo4d1w5_480,0.84146,0.57335,0.65886,0.36481
yolo4l_160,0.72114,0.26913,0.33908,0.18267
yolo4l_192,0.74646,0.3195,0.39454,0.21482
yolo4l_224,0.76333,0.36598,0.4422,0.24365
yolo4l_256,0.78765,0.40431,0.48372,0.26753
yolo4l_288,0.80473,0.43897,0.52238,0.29019
yolo4l_320,0.80966,0.47927,0.56438,0.3142
yolo4l_352,0.8311,0.50378,0.59255,0.33078
yolo4l_384,0.83075,0.53556,0.62241,0.34719
yolo4l_416,0.84782,0.55451,0.64631,0.3636
yolo4l_448,0.84858,0.58115,0.67047,0.37472
yolo4l_480,0.85627,0.60088,0.69017,0.38641
yolo4n_160,0.65508,0.22536,0.26531,0.13357
yolo4n_192,0.69559,0.26697,0.31346,0.1608
yolo4n_224,0.72549,0.30641,0.35739,0.18604
yolo4n_256,0.74205,0.33769,0.39451,0.20646
yolo4n_288,0.75497,0.3725,0.43326,0.22804
yolo4n_320,0.77419,0.406,0.47148,0.25074
yolo4n_352,0.78333,0.43425,0.50205,0.26751
yolo4n_384,0.7922,0.46064,0.53127,0.28412
yolo4n_416,0.80364,0.48078,0.55527,0.2996
yolo4n_448,0.81548,0.50513,0.58141,0.31314
yolo4n_480,0.81824,0.52781,0.60444,0.32619
yolo4s_160,0.69431,0.24953,0.30566,0.16027
yolo4s_192,0.72629,0.29702,0.35649,0.18961
yolo4s_224,0.75636,0.33905,0.40618,0.21867
yolo4s_256,0.7658,0.37767,0.44857,0.2428
yolo4s_288,0.77928,0.41407,0.48616,0.26345
yolo4s_320,0.79819,0.44817,0.52437,0.28803
